idx,ln_master_rollup_column,status,canonical_location_or_resolution
38,ln_region_lateral_left_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_region_lateral_left_positive (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
39,ln_region_lateral_right_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_region_lateral_right_examined (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
40,ln_region_lateral_right_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_region_lateral_right_positive (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
41,ln_region_other_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_region_other_examined (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
42,ln_region_other_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_region_other_positive (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
43,ln_extranodal_extension,REPRESENTED,pub_canonical.canonical_path_malignant_events_v1.extranodal_extension (CAP synoptic tumour grain via CTC lineage); pub_canonical.canonical_tumor_characteristics_v1.extranodal_extension; pub_canonical.canonical_patient_master.ln_rollup_ene aggregates worst-case LN ENE phenotype
44,ln_mets_extranodal_extension,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_extranodal_extension; pub_canonical.canonical_patient_master ln_rollup_ln_mets_extranodal_extension
45,ln_mets_ptc,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_ptc; pub_canonical.canonical_patient_master ln_rollup_ln_mets_ptc
46,ln_mets_ptc_variant,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_ptc_variant; pub_canonical.canonical_patient_master ln_rollup_ln_mets_ptc_variant
47,ln_mets_ftc,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_ftc; pub_canonical.canonical_patient_master ln_rollup_ln_mets_ftc
48,ln_mets_hurthle,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_hurthle; pub_canonical.canonical_patient_master ln_rollup_ln_mets_hurthle
49,ln_mets_mtc,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_mtc; pub_canonical.canonical_patient_master ln_rollup_ln_mets_mtc
50,ln_mets_atc,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_atc; pub_canonical.canonical_patient_master ln_rollup_ln_mets_atc
51,ln_mets_pdtc,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_pdtc; pub_canonical.canonical_patient_master ln_rollup_ln_mets_pdtc
52,ln_mets_tumor_types_array,INTENTIONALLY_DROPPED,VARCHAR-encoded list duplicated by boolean ln_mets_* + ln_rollup_mets_* mutually exclusive flags on tumour_pathology and CPM — array not stored as JSON string in canonical_patient_master
53,ln_mets_n_tumor_types,INTENTIONALLY_DROPPED_AS_SCALAR,Recompute COUNT over ln_rollup_mets_* TRUE flags when needed; tumour_pathology preserves individual booleans instead of scalar count.
54,ln_mets_micrometastasis,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_micrometastasis; pub_canonical.canonical_patient_master ln_rollup_ln_mets_micrometastasis
55,ln_mets_cystic,REPRESENTED,pub_canonical.tumor_pathology.ln_mets_cystic; pub_canonical.canonical_patient_master ln_rollup_ln_mets_cystic
56,ln_histology_source,REPRESENTED,pub_canonical.tumor_pathology.ln_histology_source
57,ln_histology_raw_text,REPRESENTED,pub_canonical.tumor_pathology.ln_histology_raw_text
58,ln_parsed_locations_json,REPRESENTED,pub_canonical.tumor_pathology.ln_parsed_locations_json
59,ln_parsed_data_json,REPRESENTED,pub_canonical.tumor_pathology.ln_parsed_data_json
60,ln_locations_parsed_count,REPRESENTED,pub_canonical.tumor_pathology.ln_locations_parsed_count
61,ln_total_locations_parsed,REPRESENTED,pub_canonical.tumor_pathology.ln_total_locations_parsed
62,ln_total_levels_involved,REPRESENTED,pub_canonical.tumor_pathology.ln_total_levels_involved (+ pub_canonical.canonical_patient_master.ln_rollup_total_levels_involved)
63,dominant_histology_type,REPRESENTED,pub_canonical.tumor_pathology.dominant_histology_type
64,num_tumors_identified,REPRESENTED,pub_canonical.tumor_pathology.num_tumors_identified
65,histology_1_type,REPRESENTED,pub_canonical.tumor_pathology.histology_1_type
66,histology_1_n_stage_ajcc8,REPRESENTED,pub_canonical.tumor_pathology.histology_1_n_stage_ajcc8; compare pub_canonical.canonical_path_malignant_events_v1 nodal AJCC staging
67,ln_central_positive_summary,REPRESENTED,pub_canonical.tumor_pathology.primary_ln_ln_central_positive (rollup-derived summary feeds pub_canonical.canonical_patient_master tp_ln_* columns)
68,ln_lateral_positive_summary,REPRESENTED,pub_canonical.tumor_pathology.primary_ln_ln_lateral_positive (+ pub_canonical.canonical_patient_master.tp_ln_lateral_positive rollup)
69,ln_source,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_source
70,ln_internal_consistency,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_internal_consistency (captures ln_master vs path_synoptic audits; replaces raw ln_crossval_v1 linkage)
71,ln_crossval_status,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_crossval_status
72,has_per_level_data,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_has_per_level_data
73,has_parsed_json,REPRESENTED_DERIVED,LOGICAL: (ln_parsed_data_json IS NOT NULL AND LENGTH(JSON)>2) evaluated in MotherDuck build; no standalone BOOL column — use tumour_pathology JSON presence in SQL predicates
74,json_n_locations,INTENTIONALLY_DROPPED_ARTIFACT,Pandas rollup digest emitted only by offline scripts/ln_master_rollup.py — not propagated to BigQuery (re-materialize locally from parquet or re-parse ln_parsed_data_json).
75,json_n_data_items,INTENTIONALLY_DROPPED_ARTIFACT,Pandas rollup digest emitted only by offline scripts/ln_master_rollup.py — not propagated to BigQuery (re-materialize locally from parquet or re-parse ln_parsed_data_json).
76,json_total_examined,INTENTIONALLY_DROPPED_ARTIFACT,Pandas rollup digest emitted only by offline scripts/ln_master_rollup.py — not propagated to BigQuery (re-materialize locally from parquet or re-parse ln_parsed_data_json).
77,json_total_positive,INTENTIONALLY_DROPPED_ARTIFACT,Pandas rollup digest emitted only by offline scripts/ln_master_rollup.py — not propagated to BigQuery (re-materialize locally from parquet or re-parse ln_parsed_data_json).
78,json_location_summary,INTENTIONALLY_DROPPED_ARTIFACT,Pandas rollup digest emitted only by offline scripts/ln_master_rollup.py — not propagated to BigQuery (re-materialize locally from parquet or re-parse ln_parsed_data_json).
