family,column_name,metric,replay_kind,pm_non_null,source_non_null,pm_sum_or_true,source_sum_or_true,n_mismatches,closure_decision
nlp_ne_problemlist,nlp_ne_problemlist_has_data,has_data,exact_derivation_vs_canonical,4036,4036.0,4036.0,4036.0,0.0,closed_exact_replay
nlp_ne_problemlist,nlp_ne_problemlist_n_rows,n_rows,exact_derivation_vs_canonical,4036,4036.0,11577.0,11577.0,0.0,closed_exact_replay
nlp_ne_staging,nlp_ne_staging_has_data,has_data,exact_derivation_vs_canonical,1639,1639.0,1639.0,1639.0,0.0,closed_exact_replay
nlp_ne_staging,nlp_ne_staging_n_rows,n_rows,exact_derivation_vs_canonical,1639,1639.0,3807.0,3807.0,0.0,closed_exact_replay
nlp_physexam,nlp_physexam_has_data,has_data,source_located_non_exact_raw_replay,512,662.0,512.0,662.0,150.0,closed_source_found_pm_strict_subset
nlp_physexam,nlp_physexam_key_finding,key_finding,lineage_only_text_metric,505,,,,,closed_lineage_source_found_text_metric_not_replayed
nlp_physexam,nlp_physexam_n_entities,n_entities,source_located_non_exact_raw_replay,512,662.0,1160.0,2025.0,372.0,closed_source_found_pm_strict_subset
nlp_physexam,nlp_physexam_n_notes,n_notes,source_located_non_exact_raw_replay,512,662.0,530.0,702.0,166.0,closed_source_found_pm_strict_subset
nlp_ptdecision,nlp_ptdecision_has_data,has_data,source_located_non_exact_raw_replay,367,398.0,367.0,398.0,31.0,closed_source_found_pm_strict_subset
nlp_ptdecision,nlp_ptdecision_key_finding,key_finding,lineage_only_text_metric,366,,,,,closed_lineage_source_found_text_metric_not_replayed
nlp_ptdecision,nlp_ptdecision_n_entities,n_entities,source_located_non_exact_raw_replay,367,398.0,583.0,641.0,53.0,closed_source_found_pm_strict_subset
nlp_ptdecision,nlp_ptdecision_n_notes,n_notes,source_located_non_exact_raw_replay,367,398.0,369.0,402.0,33.0,closed_source_found_pm_strict_subset
nlp_radtx,nlp_radtx_has_data,has_data,source_located_non_exact_raw_replay,210,213.0,210.0,213.0,3.0,closed_source_found_pm_strict_subset
nlp_radtx,nlp_radtx_key_finding,key_finding,lineage_only_text_metric,210,,,,,closed_lineage_source_found_text_metric_not_replayed
nlp_radtx,nlp_radtx_n_entities,n_entities,source_located_non_exact_raw_replay,210,213.0,568.0,580.0,11.0,closed_source_found_pm_strict_subset
nlp_radtx,nlp_radtx_n_notes,n_notes,source_located_non_exact_raw_replay,210,213.0,212.0,215.0,3.0,closed_source_found_pm_strict_subset
nlp_usnodule,nlp_usnodule_has_data,has_data,source_located_non_exact_raw_replay,18,19.0,18.0,19.0,1.0,closed_source_found_pm_strict_subset
nlp_usnodule,nlp_usnodule_key_finding,key_finding,lineage_only_text_metric,18,,,,,closed_lineage_source_found_text_metric_not_replayed
nlp_usnodule,nlp_usnodule_n_entities,n_entities,source_located_non_exact_raw_replay,18,19.0,48.0,49.0,1.0,closed_source_found_pm_strict_subset
nlp_usnodule,nlp_usnodule_n_notes,n_notes,source_located_non_exact_raw_replay,18,19.0,18.0,19.0,1.0,closed_source_found_pm_strict_subset
