metric_id,metric_name,metric_group,canonical_sql,canonical_table,numerator_def,denominator_def,use_tier,source_limitation,canonical_value,environment,last_verified_at,git_sha
rai_patients,RAI Patients,rai,SELECT COUNT(DISTINCT research_id) FROM rai_treatment_episode_v2,rai_treatment_episode_v2,Distinct patients with any RAI episode,total_surgical_patients,primary,,862,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
rai_with_dose,RAI Episodes With Dose,rai,SELECT COUNT(*) FROM rai_treatment_episode_v2 WHERE dose_mci IS NOT NULL AND dose_mci > 0,rai_treatment_episode_v2,RAI episodes with quantified dose,rai_episodes,primary,41% coverage — capped by absence of nuclear medicine notes (SL-02),761,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
complication_any_patients,Patients With Any Refined Complication,complications,SELECT COUNT(DISTINCT research_id) FROM extracted_complications_refined_v5,extracted_complications_refined_v5,Patients with at least one refined complication entity,total_surgical_patients,primary,,287,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
rln_injury_total,RLN Injury Total (Incl Suspected),complications,SELECT COUNT(*) FROM extracted_rln_injury_refined_v2,extracted_rln_injury_refined_v2,RLN injury patients (all tiers: confirmed + suspected),total_surgical_patients,primary,,92,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
tirads_patients,TIRADS-Scored Patients,imaging,SELECT COUNT(*) FROM extracted_tirads_validated_v1,extracted_tirads_validated_v1,Patients with validated TIRADS score,total_surgical_patients,primary,32.5% fill rate; improved from 4.2% via Phase 12,3474,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
imaging_fna_linkage_rows,Imaging-FNA Linkage Rows,linkage,SELECT COUNT(*) FROM imaging_fna_linkage_v3,imaging_fna_linkage_v3,Cross-domain imaging→FNA linkages,N/A,descriptive,,9024,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
lab_canonical_rows,Canonical Lab Rows,labs,SELECT COUNT(*) FROM longitudinal_lab_canonical_v1,longitudinal_lab_canonical_v1,Total rows in unified lab table (5 analytes),N/A,primary,,39961,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
lab_canonical_patients,Canonical Lab Patients,labs,SELECT COUNT(DISTINCT research_id) FROM longitudinal_lab_canonical_v1,longitudinal_lab_canonical_v1,Distinct patients with any canonical lab value,total_surgical_patients,primary,,3349,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
operative_episodes,Operative Episodes,operative,SELECT COUNT(*) FROM operative_episode_detail_v2,operative_episode_detail_v2,Total operative episode rows,N/A,descriptive,,9371,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
operative_rln_monitoring,Operative RLN Monitoring Flag,operative,SELECT SUM(CASE WHEN rln_monitoring_flag IS TRUE THEN 1 ELSE 0 END) FROM operative_episode_detail_v2,operative_episode_detail_v2,Episodes with RLN monitoring documented,operative_episodes,descriptive,"FALSE = NOT_PARSED, not confirmed-negative",1702,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
surgery_pathology_linkage,Surgery→Pathology Linkage,linkage,SELECT COUNT(*) FROM surgery_pathology_linkage_v3,surgery_pathology_linkage_v3,Cross-domain surgery→pathology linkages,N/A,descriptive,,9409,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
fna_molecular_linkage,FNA→Molecular Linkage,linkage,SELECT COUNT(*) FROM fna_molecular_linkage_v3,fna_molecular_linkage_v3,Cross-domain FNA→molecular test linkages,N/A,descriptive,,708,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
ajcc8_calculable,AJCC8 Calculable Patients,scoring,SELECT COUNT(*) FROM thyroid_scoring_py_v1 WHERE ajcc8_stage_group IS NOT NULL,thyroid_scoring_py_v1,Patients with calculable AJCC 8th edition staging,total_surgical_patients,primary,37.6% full-cohort; ~96.6% among cancer-eligible,4083,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
ata_calculable,ATA 2015 Calculable Patients,scoring,SELECT COUNT(*) FROM thyroid_scoring_py_v1 WHERE ata_initial_risk IS NOT NULL,thyroid_scoring_py_v1,Patients with calculable ATA 2015 initial risk,total_surgical_patients,primary,28.9% full-cohort; ~76.0% among cancer-eligible,3144,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
adjudication_decisions,Adjudication Decisions,review,SELECT COUNT(*) FROM adjudication_decisions,adjudication_decisions,Total reviewer adjudication decisions,N/A,descriptive,,0,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
motherduck_table_count,MotherDuck Table Count,infrastructure,SELECT COUNT(DISTINCT table_name) FROM information_schema.tables WHERE table_schema='main',information_schema.tables,Distinct tables in prod main schema,N/A,descriptive,,629,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
demographics_age_coverage_pct,Demographics Age Coverage %,demographics,"SELECT ROUND(100.0 * COUNT(*) FILTER (WHERE age_at_surgery IS NOT NULL) / NULLIF(COUNT(*), 0), 1) FROM demographics_harmonized_v2",demographics_harmonized_v2,Percentage of patients with non-null age,demographics_harmonized_v2 rows,descriptive,,99.3,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
provenance_events,Provenance Events,provenance,SELECT COUNT(*) FROM provenance_enriched_events_v1,provenance_enriched_events_v1,Total provenance-enriched event rows,N/A,descriptive,,50297,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
