ordinal_position,column_name,data_type,verification_status,verification_method,batch_id,registry_notes,canonical_data_type,in_scope,n_rows,n_nonnull,null_pct,measurement_name_like,date_name_like,count_name_like,boolean_name_like,sample_values,distinct_norm,n_with_alpha,n_with_units,n_numeric_parseable,n_unparseable,n_boolean_like_values,boolean_value_subset,n_date_parseable,timestamp_has_subday
14,ames_calculable_flag,BOOLEAN,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155d AMES). AMES categorical ladder; ames_risk stored VARCHAR (CF-mig155-AMES-RISK-VARCHAR).,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True,,,,,,,,,
15,ames_risk,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155d AMES). AMES categorical ladder; ames_risk stored VARCHAR (CF-mig155-AMES-RISK-VARCHAR).,VARCHAR,True,10871,10871,0.0,False,False,False,False,low | high,2.0,10871.0,0.0,0.0,10871.0,0.0,False,0.0,
16,ames_risk_group,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155d AMES). AMES categorical ladder; ames_risk stored VARCHAR (CF-mig155-AMES-RISK-VARCHAR).,VARCHAR,True,10871,10871,0.0,False,False,False,False,low | high,2.0,10871.0,0.0,0.0,10871.0,0.0,False,0.0,
17,analysis_eligible_flag,BOOLEAN,verified,derivation_singleton_cohort_eligibility_v1,mig_156_patient_master_framework_provenance_cluster_20260429, | mig_156 framework cluster (156f singletons). is_malignant mixed benign+malignant cohort; analysis_eligible_flag analytic gate; cross_fna_concordance categorical.,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True | False,,,,,,,,,
20,any_analysis_eligible_complication,BOOLEAN,verified,cross_domain_aggregation_any_overlap_rules_v1,mig_156_patient_master_framework_provenance_cluster_20260429, | mig_156 framework cluster (156d ANY-*). BOOL_OR / union semantics across path / invasion / molecular / complication feeds; capsular naive probe <=50 drift; recurrence OR wider than canonical_recurrence_v1 (CF-mig156-ANY-RECURRENCE-*).,BOOLEAN,True,10871,10871,0.0,False,False,False,False,False | True,,,,,,,,,
21,any_confirmed_complication,BOOLEAN,verified,cross_domain_aggregation_any_overlap_rules_v1,mig_156_patient_master_framework_provenance_cluster_20260429, | mig_156 framework cluster (156d ANY-*). BOOL_OR / union semantics across path / invasion / molecular / complication feeds; capsular naive probe <=50 drift; recurrence OR wider than canonical_recurrence_v1 (CF-mig156-ANY-RECURRENCE-*).,BOOLEAN,True,10871,10871,0.0,False,False,False,False,False | True,,,,,,,,,
22,any_confirmed_complication_flag,BOOLEAN,verified,cross_domain_aggregation_any_overlap_rules_v1,mig_156_patient_master_framework_provenance_cluster_20260429, | mig_156 framework cluster (156d ANY-*). BOOL_OR / union semantics across path / invasion / molecular / complication feeds; capsular naive probe <=50 drift; recurrence OR wider than canonical_recurrence_v1 (CF-mig156-ANY-RECURRENCE-*).,BOOLEAN,True,10871,10871,0.0,False,False,False,True,False | True,,,,,,,,,
23,any_fusion_positive,BOOLEAN,verified,cross_domain_aggregation_any_overlap_rules_v1,mig_156_patient_master_framework_provenance_cluster_20260429, | mig_156 framework cluster (156d ANY-*). BOOL_OR / union semantics across path / invasion / molecular / complication feeds; capsular naive probe <=50 drift; recurrence OR wider than canonical_recurrence_v1 (CF-mig156-ANY-RECURRENCE-*).,BOOLEAN,True,10871,10871,0.0,False,False,True,True,False | True,,,,,,,,,
24,any_recurrence_flag,BOOLEAN,verified,cross_domain_aggregation_any_overlap_rules_v1,mig_156_patient_master_framework_provenance_cluster_20260429, | mig_156 framework cluster (156d ANY-*). BOOL_OR / union semantics across path / invasion / molecular / complication feeds; capsular naive probe <=50 drift; recurrence OR wider than canonical_recurrence_v1 (CF-mig156-ANY-RECURRENCE-*). | CF-mig156-ANY-RECURRENCE-VS-STRUCTURED-219PT: any_recurrence_flag TRUE wider than canonical_recurrence_v1.recurrence_confirmed — OR-rule envelope. | mig_156b: CF-mig156-ANY-RECURRENCE-CANON-ONLY-UNDERCOUNT-349PT — Cowork independent reconcile vs canonical_recurrence_v1 (recurrence_confirmed=TRUE): PM 384 T / canonical 514 T / both 165 / PM-only 219 / **canon-only 349**. The PM-only side is OR envelope (OK). The canon-only 349 is a DERIVATION GAP: 349 patients have recurrence_confirmed=TRUE in the canonical that PM any_recurrence_flag does NOT pick up. Same family of finding as mig_138 447-pt undercount that was closed by mig_139 CR-spine resync. Recommend mig_163 CR-spine resync follow-up for any_recurrence_flag -> canonical_recurrence_v1.recurrence_confirmed=TRUE union.,BOOLEAN,True,10871,10871,0.0,False,False,False,True,False | True,,,,,,,,,
25,ata_calculable_flag,BOOLEAN,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155a ATA initial). 2015 ATA initial stratification from malignant path rollups + staging inputs; calculability mirrors scoring_ata_flag / ata_calculable_flag. CF-mig155-ATA-INITIAL-VS-CATEGORY-DUP (100% equality ata_initial_risk vs ata_risk_category).,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True | False,,,,,,,,,
26,ata_initial_risk,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155a ATA initial). 2015 ATA initial stratification from malignant path rollups + staging inputs; calculability mirrors scoring_ata_flag / ata_calculable_flag. CF-mig155-ATA-INITIAL-VS-CATEGORY-DUP (100% equality ata_initial_risk vs ata_risk_category).,VARCHAR,True,10871,3144,71.079,False,False,False,False,intermediate | high | low,3.0,3144.0,0.0,0.0,3144.0,0.0,False,0.0,
27,ata_response_calculable_flag,BOOLEAN,verified,derivation_vs_note_entities_llm_dynamic_risk_response,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155b ATA response). NLP dynamic-risk-response entities rolled to patient grain; NOT recurrence endpoints. CF-mig155-DYNAMIC-RISK-NLP-SSOT (no canonical_dynamic_risk_response_* table in main). CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_calculable_flag; CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_is_provisional.,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True,,,,,,,,,
28,ata_response_category,VARCHAR,verified,derivation_vs_note_entities_llm_dynamic_risk_response,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155b ATA response). NLP dynamic-risk-response entities rolled to patient grain; NOT recurrence endpoints. CF-mig155-DYNAMIC-RISK-NLP-SSOT (no canonical_dynamic_risk_response_* table in main). CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_calculable_flag; CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_is_provisional.,VARCHAR,True,10871,35,99.678,False,False,False,False,structural_incomplete | insufficient_data | indeterminate | biochemical_incomplete | excellent,5.0,35.0,0.0,0.0,35.0,0.0,False,0.0,
29,ata_response_is_provisional,BOOLEAN,verified,derivation_vs_note_entities_llm_dynamic_risk_response,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155b ATA response). NLP dynamic-risk-response entities rolled to patient grain; NOT recurrence endpoints. CF-mig155-DYNAMIC-RISK-NLP-SSOT (no canonical_dynamic_risk_response_* table in main). CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_calculable_flag; CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_is_provisional.,BOOLEAN,True,10871,10871,0.0,False,False,False,False,True,,,,,,,,,
30,ata_risk_calculable_flag,BOOLEAN,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155a ATA initial). 2015 ATA initial stratification from malignant path rollups + staging inputs; calculability mirrors scoring_ata_flag / ata_calculable_flag. CF-mig155-ATA-INITIAL-VS-CATEGORY-DUP (100% equality ata_initial_risk vs ata_risk_category).,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True | False,,,,,,,,,
31,ata_risk_category,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155a ATA initial). 2015 ATA initial stratification from malignant path rollups + staging inputs; calculability mirrors scoring_ata_flag / ata_calculable_flag. CF-mig155-ATA-INITIAL-VS-CATEGORY-DUP (100% equality ata_initial_risk vs ata_risk_category).,VARCHAR,True,10871,3144,71.079,False,False,False,False,intermediate | high | low,3.0,3144.0,0.0,0.0,3144.0,0.0,False,0.0,
32,best_ene_grade,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,VARCHAR,True,10871,1596,85.319,False,False,False,False,present_ungraded | indeterminate | suspicious_moderate | suspicious | negative,12.0,1596.0,0.0,0.0,1596.0,0.0,False,0.0,
33,bethesda_2010,BIGINT,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,BIGINT,True,10871,5011,53.905,False,False,False,False,4 | 3 | 2 | 6 | 5,,,,,,,,,
34,bethesda_2015,BIGINT,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,BIGINT,True,10871,5011,53.905,False,False,False,False,4 | 3 | 2 | 6 | 5,,,,,,,,,
35,bethesda_2023,BIGINT,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,BIGINT,True,10871,5011,53.905,False,False,False,False,4 | 3 | 2 | 6 | 5,,,,,,,,,
36,bethesda_category,VARCHAR,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,VARCHAR,True,10871,5026,53.767,False,False,False,False,Follicular Neoplasm | AUS/FLUS | Benign | Malignant | Suspicious for Malignancy,6.0,5026.0,0.0,0.0,5026.0,0.0,False,0.0,
37,bethesda_confidence,DOUBLE,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,DOUBLE,True,10871,5240,51.798,False,False,False,False,0.95 | 0.8 | 0.975 | 0.98 | 0.9499999999999998,,,,,,,,,
38,bethesda_final_name,VARCHAR,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,VARCHAR,True,10871,5026,53.767,False,False,False,False,Follicular Neoplasm | AUS/FLUS | Benign | Malignant | Suspicious for Malignancy,6.0,5026.0,0.0,0.0,5026.0,0.0,False,0.0,
39,bethesda_num,DOUBLE,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,DOUBLE,True,10871,5026,53.767,False,False,True,False,4.0 | 3.0 | 2.0 | 6.0 | 5.0,,,,,,,,,
42,biochemical_recurrence_flag,BOOLEAN,verified,derivation_vs_canonical_recurrence_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155g recurrence proxies). biochemical/structural/distant flags from recurrence_type / distant-metastasis ladders vs canonical_recurrence_v1 (mig_123 spine). CF-mig155-RECURRENCE-PROXY-VS-CANONICAL-V1; CF-mig155-STRUCTURAL-PROXY-VS-CANONICAL-V1.,BOOLEAN,True,10871,1946,82.099,False,False,False,True,False | True,,,,,,,,,
43,biochemical_tg_at_recurrence,DOUBLE,verified,derivation_vs_canonical_recurrence_v1_mig_123_rebuild,mig_138_patient_master_recurrence_response_cluster_20260429," | mig_138 recurrence cluster (Lane 28). Spine: canonical_recurrence_v1 (Script 203b / mig_123). ≤5% post-rebuild lineage drift flagged CF-mig138-CPM-RECURRENCE-SPINE-RESYNC-PENDING — CPM resync gated explicitly. | mig_139 (2026-04-29): CPM recurrence-spine resync from canonical_recurrence_v1 (mig_123 rebuild). Pre-mig_139 drift was 303-1,338 mismatches per col (worst: recurrence_site=1,338); PM was undercounting recurrence_confirmed by ~5x (82 TRUE vs SSOT 514). Post-resync drift = 0 across all 9 cols. CF-mig138-CPM-RECURRENCE-SPINE-RESYNC-PENDING CLOSED. Note: recurrence_date remains TIMESTAMP per upstream CF-mig123-RECURRENCE-DATE-RETYPE; calendar retype is a separate cross-table batch.",DOUBLE,True,10871,729,93.294,True,False,False,False,3.4 | 5.6 | 2.1 | 3.1 | 6.1,,,,,,,,,
44,biochemical_tg_nadir_after_surgery,DOUBLE,verified,post_surgery_lab_anchor_tg_nadir_cross_domain,mig_130_patient_master_operative_cluster_20260429, | mig_130 operative cluster (Lane 22). biochemical_tg nadir after surgery — lab/surveillance cross-domain.,DOUBLE,True,10871,666,93.874,True,False,False,False,0.1 | 201.0 | 0.6 | 1.3 | 3.6,,,,,,,,,
45,bmi_combined,DOUBLE,verified,derivation_bmi_hierarchy,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 BMI shard. anesthesia_vs_clinic_vs_NLP-note extraction ladder (+ missingness reason stamping) per operative/clinic consolidation feeders.,DOUBLE,True,10871,2085,80.821,False,False,False,False,19.8 | 30.0 | 39.65 | 39.06 | 40.82,,,,,,,,,
46,bmi_note_extracted,DOUBLE,verified,derivation_bmi_hierarchy,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 BMI shard. anesthesia_vs_clinic_vs_NLP-note extraction ladder (+ missingness reason stamping) per operative/clinic consolidation feeders.,DOUBLE,True,10871,646,94.058,False,False,False,False,19.8 | 30.0 | 39.65 | 39.06 | 40.82,,,,,,,,,
49,braf_detection_method,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,VARCHAR,True,10871,376,96.541,False,False,False,False,NGS | NLP_entity_confirmed | NGS_or_unknown,3.0,376.0,0.0,0.0,376.0,0.0,False,0.0,
50,braf_detection_method_v11,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,VARCHAR,True,10871,376,96.541,False,False,False,False,NGS | NLP_entity_confirmed | NGS_or_unknown,3.0,376.0,0.0,0.0,376.0,0.0,False,0.0,
51,braf_positive,BOOLEAN,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,BOOLEAN,True,10871,10871,0.0,False,False,True,True,False | True,,,,,,,,,
52,braf_positive_final,BOOLEAN,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,BOOLEAN,True,10871,10871,0.0,False,False,False,False,False | True,,,,,,,,,
53,braf_positive_v7,BOOLEAN,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,BOOLEAN,True,10871,10024,7.791,False,False,False,False,False | True,,,,,,,,,
54,braf_recovered_status_v11,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,VARCHAR,True,10871,376,96.541,False,False,False,False,positive,1.0,376.0,0.0,0.0,376.0,0.0,False,0.0,
55,braf_recovered_variant_v11,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,VARCHAR,True,10871,271,97.507,False,False,False,False,V600E | V600E_presumed | V600,3.0,271.0,0.0,0.0,271.0,0.0,False,0.0,
57,braf_status_v7,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,VARCHAR,True,10871,10024,7.791,False,False,False,False,negative | positive,2.0,10024.0,0.0,0.0,10024.0,0.0,False,0.0,
58,braf_variant,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,VARCHAR,True,10871,173,98.409,False,False,False,False,V600E | V600,2.0,173.0,0.0,0.0,173.0,0.0,False,0.0,
59,calcium_nadir,DOUBLE,verified,derivation_vs_canonical_labs_calcium_v1_and_labs_tsh_v1_postop_window,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157i). calcium_* + tsh_suppressed_* vs canonical_labs_calcium_v1 / canonical_labs_tsh_v1; cross mig_150 postop_low_calcium_flag (CF). | CF-mig157-CALCIUM-VS-MIG150-CROSS: 2pt FALSE postop_low_calcium_flag but calcium_nadir < 8 — tier defs.,DOUBLE,True,10871,17,99.844,True,False,False,False,5.0 | 6.0 | 12.0 | 10.0 | 6.5,,,,,,,,,
60,calcium_nadir_30d,DOUBLE,verified,derivation_vs_canonical_labs_calcium_v1_and_labs_tsh_v1_postop_window,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157i). calcium_* + tsh_suppressed_* vs canonical_labs_calcium_v1 / canonical_labs_tsh_v1; cross mig_150 postop_low_calcium_flag (CF). | CF-mig157-CALCIUM-VS-MIG150-CROSS: 2pt FALSE postop_low_calcium_flag but calcium_nadir < 8 — tier defs.,DOUBLE,True,10871,23,99.788,True,False,False,False,9.1 | 9.6 | 13.5 | 9.9 | 10.6,,,,,,,,,
61,calcium_nadir_days_postop,INTEGER,verified,derivation_vs_canonical_labs_calcium_v1_and_labs_tsh_v1_postop_window,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157i). calcium_* + tsh_suppressed_* vs canonical_labs_calcium_v1 / canonical_labs_tsh_v1; cross mig_150 postop_low_calcium_flag (CF).,INTEGER,True,10871,34,99.687,True,False,False,False,22 | 0 | 23 | 9 | 20,,,,,,,,,
62,calcium_supplement_required,BOOLEAN,verified,derivation_vs_canonical_labs_calcium_v1_and_labs_tsh_v1_postop_window,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157i). calcium_* + tsh_suppressed_* vs canonical_labs_calcium_v1 / canonical_labs_tsh_v1; cross mig_150 postop_low_calcium_flag (CF). | CF-mig157-CALCIUM-VS-MIG150-CROSS: 2pt FALSE postop_low_calcium_flag but calcium_nadir < 8 — tier defs.,BOOLEAN,True,10871,10871,0.0,True,False,False,False,False | True,,,,,,,,,
63,capsular_invasion_refined,VARCHAR,verified,derivation_vs_canonical_invasion_events_v1,mig_154_patient_master_pathology_invasion_cluster_20260429, | mig_154 pathology-invasion (154a capsular). BOOL_OR / ordinal worst from capsular-axis invasion events + path malignant feeder; spot vs invasion_type=capsular present rows. CF-mig154-PM-CAPSULAR-VS-EVENT-PRESENT (PM TRUE vs event-absent drift enumerated in header).,VARCHAR,True,10871,1191,89.044,False,False,False,False,present | absent,2.0,1191.0,0.0,0.0,1191.0,0.0,False,0.0,
64,capsular_invasion_v6,VARCHAR,verified,derivation_vs_canonical_invasion_events_v1,mig_154_patient_master_pathology_invasion_cluster_20260429, | mig_154 pathology-invasion (154a capsular). BOOL_OR / ordinal worst from capsular-axis invasion events + path malignant feeder; spot vs invasion_type=capsular present rows. CF-mig154-PM-CAPSULAR-VS-EVENT-PRESENT (PM TRUE vs event-absent drift enumerated in header).,VARCHAR,True,10871,1227,88.713,False,False,False,False,present | absent | indeterminate,3.0,1227.0,0.0,0.0,1227.0,0.0,False,0.0,
65,chyle_leak_status,VARCHAR,verified,derivation_legacy_complication_status_varchar_complications_table,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,VARCHAR,True,10871,10871,0.0,False,False,False,False,absent | absent_or_unconfirmed | confirmed_duration_unknown,3.0,10871.0,0.0,0.0,10871.0,0.0,False,0.0,
