dive,dive_id,access_mode,database,schema,table,column,ref_type
M030,6483ff38-f28d-4322-8f38-23c00ba1f89d,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m030_genetic_predictive_v1,any_fusion_positive,select
M030,6483ff38-f28d-4322-8f38-23c00ba1f89d,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m030_genetic_predictive_v1,molecular_risk_tier,select+groupby
M031,f1ef6c26-218a-4905-bbee-17a8ae8a095c,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m031_nuclear_medicine_v1,is_malignant,filter
M031,f1ef6c26-218a-4905-bbee-17a8ae8a095c,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m031_nuclear_medicine_v1,rai_received_flag,select+filter
M031,f1ef6c26-218a-4905-bbee-17a8ae8a095c,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m031_nuclear_medicine_v1,nucmed_n_scans,select
M031,f1ef6c26-218a-4905-bbee-17a8ae8a095c,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m031_nuclear_medicine_v1,nucmed_overall_assessment,select+groupby
M032,937983bf-398e-45c4-87a1-8adc7ff6021f,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m032_descriptive_25yr_v1,is_malignant,filter
M032,937983bf-398e-45c4-87a1-8adc7ff6021f,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m032_descriptive_25yr_v1,surg_total_thyroidectomy,select+filter
M032,937983bf-398e-45c4-87a1-8adc7ff6021f,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m032_descriptive_25yr_v1,any_recurrence_flag,select
M032,937983bf-398e-45c4-87a1-8adc7ff6021f,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m032_descriptive_25yr_v1,surg_first_date,select+groupby
M033,8b9a6682-8b7c-4650-9e29-742935b06132,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m033_afirma_thyroseq_v1,mol_has_afirma,select+filter
M033,8b9a6682-8b7c-4650-9e29-742935b06132,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m033_afirma_thyroseq_v1,mol_has_thyroseq,select+filter
M033,8b9a6682-8b7c-4650-9e29-742935b06132,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m033_afirma_thyroseq_v1,is_malignant,filter
M035,568b6b74-2304-4fcf-91ef-4c7fce9612d4,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m035_bethesda_v_v1,is_malignant,filter
M035,568b6b74-2304-4fcf-91ef-4c7fce9612d4,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m035_bethesda_v_v1,molecular_tested_confirmed,filter
M035,568b6b74-2304-4fcf-91ef-4c7fce9612d4,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m035_bethesda_v_v1,surg_total_thyroidectomy,filter
M035,568b6b74-2304-4fcf-91ef-4c7fce9612d4,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m035_bethesda_v_v1,histology_final,select+groupby
M036,53ed4daa-0ebc-41bd-a7c3-381b12de6c40,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m036_ata_risk_comparison_v1,any_recurrence_flag,select
M036,53ed4daa-0ebc-41bd-a7c3-381b12de6c40,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m036_ata_risk_comparison_v1,rai_received_flag,select
M036,53ed4daa-0ebc-41bd-a7c3-381b12de6c40,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m036_ata_risk_comparison_v1,ata_risk_category,select+groupby
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_positive_flag,select
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_total_examined,select
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_level_i_positive,select
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_level_ii_positive,select
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_level_iii_positive,select
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_level_iv_positive,select
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_level_v_positive,select
M037,7b89a2c4-5601-4eab-9844-cdcf8d13a490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m037_ln_metastasis_v1,ln_level_vi_positive,select
M038,f4d25858-e13c-4197-a2ce-08e6cb444314,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m038_massive_goiter_v1,ct_substernal_extension_any,select
M038,f4d25858-e13c-4197-a2ce-08e6cb444314,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m038_massive_goiter_v1,ct_tracheal_deviation_any,select
M038,f4d25858-e13c-4197-a2ce-08e6cb444314,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m038_massive_goiter_v1,ct_airway_compromise_any,select
M038,f4d25858-e13c-4197-a2ce-08e6cb444314,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m038_massive_goiter_v1,gland_weight_final_g,select
M039,7ae99f58-ac5e-4932-8ca5-d87cf9b6e0f3,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m039_pth_calcium_v1,has_low_pth_flag,select
M039,7ae99f58-ac5e-4932-8ca5-d87cf9b6e0f3,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m039_pth_calcium_v1,has_low_calcium_flag,select
M039,7ae99f58-ac5e-4932-8ca5-d87cf9b6e0f3,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m039_pth_calcium_v1,comp_hypoparathyroidism_confirmed,select
M039,7ae99f58-ac5e-4932-8ca5-d87cf9b6e0f3,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m039_pth_calcium_v1,comp_hypocalcemia_confirmed,select
M039,7ae99f58-ac5e-4932-8ca5-d87cf9b6e0f3,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m039_pth_calcium_v1,postop_pth_min_value,select
M040,f8f69c3f-4b4f-49f8-90b7-02316c064c26,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m040_reoperative_v1,is_malignant,filter
M040,f8f69c3f-4b4f-49f8-90b7-02316c064c26,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m040_reoperative_v1,comp_rln_injury_confirmed,select
M040,f8f69c3f-4b4f-49f8-90b7-02316c064c26,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m040_reoperative_v1,comp_hypoparathyroidism_confirmed,select
M040,f8f69c3f-4b4f-49f8-90b7-02316c064c26,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m040_reoperative_v1,completion_reason,select+groupby
M042,e5cb8a45-462f-4dec-b9c4-f152d1e07bb7,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m042_incidental_parathyroid_v1,para_has_pathologic_glands,select+filter
M042,e5cb8a45-462f-4dec-b9c4-f152d1e07bb7,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m042_incidental_parathyroid_v1,comp_hypoparathyroidism_confirmed,select
M042,e5cb8a45-462f-4dec-b9c4-f152d1e07bb7,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m042_incidental_parathyroid_v1,para_n_glands_identified,select
M043,a27b6a9a-68e8-4716-bdaa-abfb9efbbe61,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m043_ln_predictors_v1,ln_positive_flag,select
M043,a27b6a9a-68e8-4716-bdaa-abfb9efbbe61,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m043_ln_predictors_v1,ln_ene_status,select+filter
M043,a27b6a9a-68e8-4716-bdaa-abfb9efbbe61,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m043_ln_predictors_v1,ajcc8_t_stage,select+groupby+filter
M044,58d5ff4d-d3df-4dec-849f-b01874b4aefe,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m044_ajcc_ete_v1,gross_ete_flag,select
M044,58d5ff4d-d3df-4dec-849f-b01874b4aefe,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m044_ajcc_ete_v1,ete_grade_final,select+filter
M044,58d5ff4d-d3df-4dec-849f-b01874b4aefe,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m044_ajcc_ete_v1,any_recurrence_flag,select
M044,58d5ff4d-d3df-4dec-849f-b01874b4aefe,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m044_ajcc_ete_v1,ajcc8_stage_group,select+groupby+filter
M045,af1677e3-29d1-49da-a43e-17288f048490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m045_multimodal_risk_v1,is_malignant,filter
M045,af1677e3-29d1-49da-a43e-17288f048490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m045_multimodal_risk_v1,molecular_tested_confirmed,filter
M045,af1677e3-29d1-49da-a43e-17288f048490,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m045_multimodal_risk_v1,bethesda_final_name,select+groupby
M046,291874fa-fb75-47fe-aa2a-8e082f2fef1b,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m046_niftp_era_bethesda_v1,niftp_era,select+groupby
M046,291874fa-fb75-47fe-aa2a-8e082f2fef1b,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m046_niftp_era_bethesda_v1,bethesda_final,select+groupby
M046,291874fa-fb75-47fe-aa2a-8e082f2fef1b,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m046_niftp_era_bethesda_v1,is_malignant,filter
M047,3c4c4ee7-add1-4010-87fd-1849b4e8cba5,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m047_frozen_section_v1,syn_carcinoma_on_frozen,select
M047,3c4c4ee7-add1-4010-87fd-1849b4e8cba5,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m047_frozen_section_v1,is_malignant,filter
M047,3c4c4ee7-add1-4010-87fd-1849b4e8cba5,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m047_frozen_section_v1,surg_total_thyroidectomy,filter
M047,3c4c4ee7-add1-4010-87fd-1849b4e8cba5,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m047_frozen_section_v1,syn_frozen_section_result,select+groupby
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,is_malignant,select
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tumor_size_cm,select+filter
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,histology_final,select+groupby+filter
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,ln_positive_flag,select
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,ata_risk_category,filter
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,surg_procedure_type,filter
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,ajcc8_stage_group,select+groupby+filter
T1,89588c45-03d9-4c0c-b67a-a75fe7b5ed61,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,any_recurrence_flag,select
T2,ec2fed70-7e65-469b-ae9a-c3f3c9b08abb,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,bethesda_final,filter
T2,ec2fed70-7e65-469b-ae9a-c3f3c9b08abb,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,syn_frozen_section,select+filter
T2,ec2fed70-7e65-469b-ae9a-c3f3c9b08abb,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,syn_carcinoma_on_frozen,select
T2,ec2fed70-7e65-469b-ae9a-c3f3c9b08abb,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,syn_frozen_section_result,select+groupby+filter
T2,ec2fed70-7e65-469b-ae9a-c3f3c9b08abb,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,is_malignant,select
T2,ec2fed70-7e65-469b-ae9a-c3f3c9b08abb,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,surg_procedure_type,select+groupby+filter
T2,ec2fed70-7e65-469b-ae9a-c3f3c9b08abb,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,any_recurrence_flag,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,syn_graves,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,syn_hashimoto,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,syn_chronic_thyroiditis,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,is_malignant,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tumor_size_cm,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,any_recurrence_flag,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,age_at_surgery,select
T3,f82a9a72-e922-41c9-99d2-35ae5d287cf7,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,sex,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,bethesda_final,filter
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,molecular_tested_confirmed,select+filter
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,mol_has_thyroseq,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,mol_has_afirma,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,surg_procedure_type,select+groupby+filter
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,braf_positive_final,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,ras_positive_final,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tert_positive_final,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,mol_platform,select+groupby+filter
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,is_malignant,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,any_recurrence_flag,select
T4,8f7459cf-ab2e-4216-8ae3-803ce0107b72,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tumor_size_cm,select
T5,031f5d51-a269-43b5-ae66-42b179adf121,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,surg_procedure_type,filter
T5,031f5d51-a269-43b5-ae66-42b179adf121,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tg_n_measurements,select
T5,031f5d51-a269-43b5-ae66-42b179adf121,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tg_nadir,select
T5,031f5d51-a269-43b5-ae66-42b179adf121,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tg_trajectory_class,select+groupby+filter
T5,031f5d51-a269-43b5-ae66-42b179adf121,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,any_recurrence_flag,select
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,rai_received_flag,select+filter
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,rai_max_dose_mci,select+filter
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,n_rai_episodes,select
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,any_recurrence_flag,select
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,braf_positive_final,select
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,ras_positive_final,select
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tert_positive_final,select
T6,3b81b143-d529-44d9-b424-f1da8774c8ef,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,molecular_tested_confirmed,select
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,para_specimen_included,select
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,para_has_pathologic_glands,select
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,comp_hypoparathyroidism_confirmed,select
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,para_removal_intent,select+groupby+filter
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,para_n_glands_identified,select+groupby+filter
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,comp_hypocalcemia_confirmed,select
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,lab_pth_n_measurements,select+groupby
T7,5b2ff9b1-6629-4b10-8c56-4b805c0e4f99,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,lab_pth_most_recent,select
T8,61e0a279-82f2-4ae8-9653-cb650efc7dfc,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tirads_best_category_v12,select+groupby+filter
T8,61e0a279-82f2-4ae8-9653-cb650efc7dfc,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,is_malignant,select
T8,61e0a279-82f2-4ae8-9653-cb650efc7dfc,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,tirads_nodule_size_max_mm_v12,select
T8,61e0a279-82f2-4ae8-9653-cb650efc7dfc,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,bethesda_final,select+filter
T9,16743a51-81b4-4988-b624-d9998d20b709,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,ata_risk_category,select+groupby+filter
T9,16743a51-81b4-4988-b624-d9998d20b709,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,macis_score,select
T9,16743a51-81b4-4988-b624-d9998d20b709,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,any_recurrence_flag,select
T9,16743a51-81b4-4988-b624-d9998d20b709,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,overall_survival_years,select
T9,16743a51-81b4-4988-b624-d9998d20b709,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,macis_risk_group,select+groupby+filter
T10,61ae43c0-e5ce-43b2-b8c9-cc943f6b96fe,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,age_at_surgery,select+groupby+filter
T10,61ae43c0-e5ce-43b2-b8c9-cc943f6b96fe,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,is_malignant,select
T10,61ae43c0-e5ce-43b2-b8c9-cc943f6b96fe,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,sex,select+groupby+filter
T11,59fb81f3-9ac2-413d-8975-a056d7d8d900,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m001_indeterminate_genetics_v1,molecular_tested_confirmed,select+groupby
T11,59fb81f3-9ac2-413d-8975-a056d7d8d900,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m001_indeterminate_genetics_v1,is_malignant,select
T11,59fb81f3-9ac2-413d-8975-a056d7d8d900,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m001_indeterminate_genetics_v1,surg_total_thyroidectomy,select
T11,59fb81f3-9ac2-413d-8975-a056d7d8d900,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m001_indeterminate_genetics_v1,any_recurrence_flag,select
T11,59fb81f3-9ac2-413d-8975-a056d7d8d900,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m001_indeterminate_genetics_v1,histology_final,select+groupby+filter
T12,c0404775-ebd8-44bf-89fd-3b814986cb41,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,pmhx_nlp_men_syndrome,select
T12,c0404775-ebd8-44bf-89fd-3b814986cb41,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,pmhx_nlp_family_hx_thyroid,select
T12,c0404775-ebd8-44bf-89fd-3b814986cb41,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,pmhx_nlp_family_hx_cancer,select
T12,c0404775-ebd8-44bf-89fd-3b814986cb41,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,pmhx_nlp_radiation_exposure,select
T12,c0404775-ebd8-44bf-89fd-3b814986cb41,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,pmhx_nlp_prior_cancer_hx,select
T12,c0404775-ebd8-44bf-89fd-3b814986cb41,share,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_descriptive_full_cohort_v1,pmhx_nlp_autoimmune_thyroid_hx,select
