ordinal_position,column_name,data_type,verification_status,verification_method,batch_id,registry_notes,n_rows,null_or_blank,non_null,distinct_raw,distinct_norm,leading_trailing_rows,repeated_ws_rows,non_lower_rows,top_norm_count,norm_groups_with_raw_variants,null_pct,top_norm_pct_of_nonnull,norm_distinct_pct_of_nonnull,column_class,semantic_family,is_enum_candidate,rare_value_count,drift_issue_count
178,ene_path_ct_concordance,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,9275,1596,3,3,0,0,0,1412,0,85.319,88.471,0.188,controlled_vocab_candidate,other,True,1,1
179,ene_path_levels,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10853,18,14,11,0,0,12,3,3,99.834,16.667,61.111,controlled_vocab_candidate,other,True,0,3
180,ene_path_nlp,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10850,21,4,4,0,0,0,9,0,99.807,42.857,19.048,controlled_vocab_candidate,other,True,0,0
181,ene_path_synoptic,VARCHAR,verified,synoptic_surface_upstream_preservation_no_row_number,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). syn_* + ene_path_synoptic; upstream synoptic_row_ix preserved — never ROW_NUMBER()-synthesized.,10871,9605,1266,4,4,0,0,0,1248,0,88.354,98.578,0.316,controlled_vocab_candidate,other,True,0,0
182,ene_pet,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10808,63,2,2,0,0,0,60,0,99.42,95.238,3.175,controlled_vocab_candidate,other,True,0,0
184,ene_rai_scan,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10671,200,2,2,0,0,0,161,0,98.16,80.5,1.0,controlled_vocab_candidate,treatment,True,0,0
186,ene_us,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10406,465,3,3,0,0,0,351,0,95.723,75.484,0.645,controlled_vocab_candidate,other,True,0,0
187,ete_grade,VARCHAR,verified,derivation_vs_canonical_ete_event_resolved_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Grade ladder vs mig121 Tier-2 resolved + adjudication precedence per canonical_finalization mapping (ete_grade_final vs ete_grade_final_v2 generations); INT ete_ordinal_worst ordinal-aligned.,10871,6752,4119,6,6,0,0,0,2580,0,62.11,62.637,0.146,controlled_vocab_candidate,other,True,1,1
188,ete_grade_source,VARCHAR,verified,derivation_vs_canonical_ete_event_resolved_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Grade ladder vs mig121 Tier-2 resolved + adjudication precedence per canonical_finalization mapping (ete_grade_final vs ete_grade_final_v2 generations); INT ete_ordinal_worst ordinal-aligned.,10871,0,10871,3,3,0,0,0,6937,0,0.0,63.812,0.028,possible_enum_review,provenance,True,0,0
189,ete_op_note_confidence,VARCHAR,verified,derivation_vs_canonical_ete_event_resolved_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Grade ladder vs mig121 Tier-2 resolved + adjudication precedence per canonical_finalization mapping (ete_grade_final vs ete_grade_final_v2 generations); INT ete_ordinal_worst ordinal-aligned.,10871,10688,183,4,4,0,0,0,155,0,98.317,84.699,2.186,possible_enum_review,other,True,0,0
190,ete_op_note_grade,VARCHAR,verified,derivation_vs_canonical_ete_event_resolved_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Grade ladder vs mig121 Tier-2 resolved + adjudication precedence per canonical_finalization mapping (ete_grade_final vs ete_grade_final_v2 generations); INT ete_ordinal_worst ordinal-aligned.,10871,10688,183,3,3,0,0,0,161,0,98.317,87.978,1.639,controlled_vocab_candidate,other,True,1,1
191,ete_original_grade,VARCHAR,verified,derivation_vs_canonical_ete_event_resolved_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Grade ladder vs mig121 Tier-2 resolved + adjudication precedence per canonical_finalization mapping (ete_grade_final vs ete_grade_final_v2 generations); INT ete_ordinal_worst ordinal-aligned.,10871,7313,3558,1,1,0,0,0,3558,0,67.271,100.0,0.028,degenerate_single_value,other,True,0,0
192,ete_original_source,VARCHAR,verified,derivation_vs_canonical_ete_event_resolved_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Grade ladder vs mig121 Tier-2 resolved + adjudication precedence per canonical_finalization mapping (ete_grade_final vs ete_grade_final_v2 generations); INT ete_ordinal_worst ordinal-aligned.,10871,7313,3558,1,1,0,0,0,3558,0,67.271,100.0,0.028,degenerate_single_value,provenance,True,0,0
193,ete_refined_grade,VARCHAR,verified,derivation_vs_canonical_ete_subgrade_events_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). worst_ete_v10 + ete_refined_grade pinned to mig114 canonical_ete_subgrade_events_v1 / rollup worst-mention logic.,10871,7313,3558,4,4,0,0,0,3375,0,67.271,94.857,0.112,controlled_vocab_candidate,other,True,1,1
194,ete_subgrade_method,VARCHAR,verified,derivation_vs_canonical_ete_subgrade_events_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Subgrade method/note passthrough vs mig114 note_entities_llm_ete_subgrade canonical tier.,10871,7313,3558,2,2,0,0,0,3375,0,67.271,94.857,0.056,controlled_vocab_candidate,provenance,True,0,0
195,ete_subgrade_note,VARCHAR,verified,derivation_vs_canonical_ete_subgrade_events_v1,mig_140_patient_master_ete_cluster_20260429, | mig_140 ETE cluster (Lane 29). Subgrade method/note passthrough vs mig114 note_entities_llm_ete_subgrade canonical tier.,10871,10688,183,3,3,0,0,0,154,0,98.317,84.153,1.639,controlled_vocab_candidate,other,True,1,1
200,fna_bethesda_source,VARCHAR,verified,derivation_vs_canonical_fna_patient_rollup_v1,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 small-clusters Lane 32 (FNA/rollup shard). bitwise 0-drift replay vs main.canonical_fna_patient_rollup_v1 (mig_95b) per prompt6_356 CPM_REPOINT_MAP; feeder SSOTcanonical_fna_events_v1 mig_78/mig_96 family.,10871,5605,5266,1,1,0,0,0,5266,0,51.559,100.0,0.019,degenerate_single_value,provenance,True,0,0
202,fna_path_concordance_category,VARCHAR,verified,derivation_fna_path_concordance_chain,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 small-clusters Lane 32 (concordance shard). Bethesda category vs final histology adjudication taxonomy (Scripts 205/265 lineage; TP/TN/discord lanes per surgical cohort enrichment); BOOL `fna_path_concordant` non-degenerate.,10871,5622,5249,4,4,0,0,0,3081,0,51.716,58.697,0.076,controlled_vocab_candidate,other,True,0,0
