column_name,cpm_dtype,canonical_table,canonical_column,canonical_dtype,coverage_status,notes
max_tirads_ever,BIGINT,canonical_us_patient_master_VIEW_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,BIGINT 1-5 → VARCHAR TR1-TR5; verify rank concordance
max_tirads_ever_v2,DOUBLE,canonical_us_patient_master_VIEW_v2,max_tirads_points_ever,DOUBLE,mapped_cupm_v2,DOUBLE points (0-13+); already exists on cupm_v2
preop_tirads_best,BIGINT,canonical_us_patient_master_VIEW_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Last-preop-exam category
preop_tirads_best_v2,VARCHAR,canonical_us_patient_master_VIEW_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Same as preop_tirads_best
preop_tirads_category,VARCHAR,canonical_us_patient_master_VIEW_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Likely same as preop_best/worst on cupm_v2
preop_tirads_category_v2,VARCHAR,canonical_us_patient_master_VIEW_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Same as preop_tirads_category
preop_tirads_worst,BIGINT,canonical_us_patient_master_VIEW_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Best+worst flatten to last preop value on cupm_v2; verify
tirads_best_category_v12,VARCHAR,canonical_us_patient_master_VIEW_v2,tirads_category_at_first_exam,VARCHAR,mapped_cupm_v2,VARCHAR labels collapse to TR rank
tirads_best_combined,INTEGER,canonical_us_patient_master_VIEW_v2,tirads_category_at_first_exam,VARCHAR,mapped_cupm_v2,Pre-v12 INTEGER form; map to first-exam category
tirads_v2_any_suspicious_ln_on_us,BOOLEAN,canonical_us_patient_master_VIEW_v2,any_suspicious_us_ln_ever,BOOLEAN,mapped_cupm_v2,Direct match
tirads_v2_max_points,DOUBLE,canonical_us_patient_master_VIEW_v2,max_tirads_points_ever,DOUBLE,mapped_cupm_v2,Same column
tirads_v2_worst_category,VARCHAR,canonical_us_patient_master_VIEW_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Same column
tirads_worst_category_v12,VARCHAR,canonical_us_patient_master_VIEW_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,VARCHAR labels collapse to TR rank
tirads_worst_combined,INTEGER,canonical_us_patient_master_VIEW_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Pre-v12 INTEGER worst-ever
worst_tirads_category,VARCHAR,canonical_us_patient_master_VIEW_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Patient worst TR rank rollup
tirads_worst_points_v271,DOUBLE,canonical_us_patient_master_VIEW_v2,max_tirads_points_ever,DOUBLE,mapped_points,"DOUBLE points; cupm_v2 has max-only — Part A: 27.7% agreement, different pipelines"
imaging_tirads_source,VARCHAR,-,-,—,retired_redesign,Pipeline-source label — metadata-only; no canonical equivalent
tirads_concordant_count_v12,BIGINT,-,-,—,retired_redesign,Q1 decision: redesign cohort_m025/m075; no port
tirads_has_acr_recalc_v12,BOOLEAN,-,-,—,retired_redesign,Concept retired in v2 pipeline (acr2017_vs_updated_concordant lives per-nodule)
tirads_mismatch_count_v12,BIGINT,-,-,—,retired_redesign,Q1 decision: redesign cohort_m025/m075; no port
tirads_n_sources_v12,BIGINT,-,-,—,retired_redesign,Q1 decision: redesign cohort_m025
tirads_reliability_v12,DOUBLE,-,-,—,retired_redesign,Q1 decision: redesign cohort_m075
tirads_source_system_v271,VARCHAR,-,-,—,retired_redesign,Pipeline-source label (cunc_v1_points_acr2017) — metadata-only
tirads_source_v12,VARCHAR,-,-,—,retired_redesign,Pipeline-source label (excel_complete_structured) — no canonical equivalent; metadata-only
