column_name,data_type,proposed_v2_counterpart,v2_data_type,n_populated_legacy,n_populated_v2,n_both_populated,n_both_agree,n_both_disagree,n_legacy_only,n_v2_only,n_both_null,writer_scripts,reader_scripts,recommendation,rationale,note
max_tirads_ever,BIGINT,max_tirads_ever_v2,DOUBLE,3439,1300,1300,,,2139,0,7432,252_recompute_max_tirads.py; 265_canonical_finalization.py; 272_canonical_cleanup_phase1.py; 301_canonical_us_patient_master_v1.py; 50_multinodule_imaging.py,207_canonical_master_expansion.py; 209_nlp_entity_crossvalidation.py; 228_registry_backfill.py; 246_canonical_us_nodule_characteristics.py; 252_recompute_max_tirads.py; 259_final_verification_lock.py; 264_final_acceptance_addendum.py; 277_canonical_cleanup_phase7_verification.py; 50_multinodule_imaging.py; cpm_cols_pre.txt; drift_report.md; phase1_dryrun_probe.py; phase1_run.log; phase1_stdout.log; preflight.py; schema_recon.py; schema_inventory.md; FINALIZATION_REPORT_v1_1.md; PLAN.md,PRESERVE_DIFFERENT_SEMANTIC,Pair has different semantics: BIGINT category code 1-5 vs DOUBLE points (0-13+). Different semantics — DO NOT compare. Both should be kept under clarifying names.. Recommend renaming pair to clarifying names.,SEMANTIC MISMATCH — equality not computed: BIGINT category code 1-5 vs DOUBLE points (0-13+). Different semantics — DO NOT compare. Both should be kept under clarifying names.
pathology_vs_imaging_laterality_concordant,BOOLEAN,pathology_vs_imaging_laterality_concordant_v271b,VARCHAR,3364,10871,3364,,,0,7507,0,271_tirads_imaging_finalization.py; 271a_fix_concordance_three_valued.py; 271b_laterality_normalization.py,(none),PRESERVE_DIFFERENT_SEMANTIC,"Pair has different semantics: legacy BOOLEAN; v271b is multi-valued VARCHAR — type mismatch, see _v271b row. Recommend renaming pair to clarifying names.","SEMANTIC MISMATCH — equality not computed: legacy BOOLEAN; v271b is multi-valued VARCHAR — type mismatch, see _v271b row"
pathology_vs_imaging_laterality_concordant_v271b,VARCHAR,pathology_vs_imaging_laterality_concordant,BOOLEAN,10871,3364,3364,920,2444,7507,0,0,271b_laterality_normalization.py,(none),PRESERVE_DIFFERENT_SEMANTIC,Only 27.3% agreement — pair likely measures different things despite naming.,v271b is 5-valued VARCHAR (concordant/discordant/partially_concordant/unknown_path/insufficient_data); legacy is BOOLEAN — VALUE-LOSS in legacy
preop_tirads_best,BIGINT,preop_tirads_best_v2,VARCHAR,3474,1043,1043,267,776,2431,0,7397,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 221_tirads_v2_integration.py; 221b_suspicious_ln_reextraction.py; 252_recompute_max_tirads.py,207_canonical_master_expansion.py; 209_nlp_entity_crossvalidation.py; 252_recompute_max_tirads.py; cpm_cols_pre.txt; PLAN.md,PRESERVE_DIFFERENT_SEMANTIC,Only 25.6% agreement — pair likely measures different things despite naming.,BIGINT(1-5) vs VARCHAR(TR1-TR5)
preop_tirads_category,VARCHAR,preop_tirads_category_v2,VARCHAR,3474,1043,1043,319,724,2431,0,7397,204_canonical_master_assembly.py; 205_canonical_consolidation.py,209_nlp_entity_crossvalidation.py; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_m025_tirads_performance_v1; VIEW:manuscript_workspace.cohort_m045_multimodal_risk_v1,PRESERVE_DIFFERENT_SEMANTIC,Only 30.6% agreement — pair likely measures different things despite naming.,"VARCHAR vs VARCHAR (TR-rank category, label format may differ)"
tirads_best_category_v12,VARCHAR,imaging_tirads_best_v2,VARCHAR,3474,1226,1226,240,986,2248,0,7397,221_tirads_v2_integration.py; 265_canonical_finalization.py,207_canonical_master_expansion.py; 209_nlp_entity_crossvalidation.py; 246_canonical_us_nodule_characteristics.py; 273_registry_curation.py; ajcc8_t_stage_view_migration_proposal.md; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_descriptive_full_cohort_v1; VIEW:manuscript_workspace.cohort_m011_tirads_fna_genetics_v1; VIEW:manuscript_workspace.cohort_m025_tirads_performance_v1; VIEW:manuscript_workspace.cohort_m045_multimodal_risk_v1; VIEW:manuscript_workspace.cohort_m053_nondiagnostic_fna_v1; VIEW:manuscript_workspace.cohort_m064_frozen_decision_v1; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1; VIEW:manuscript_workspace.cohort_m076_ln_surveillance_v1,PRESERVE_DIFFERENT_SEMANTIC,Only 19.6% agreement — pair likely measures different things despite naming.,VARCHAR(TR4_Moderately_Suspicious style) vs VARCHAR(TR2 style) — compare TR rank substring
tirads_best_combined,INTEGER,imaging_tirads_best_v2,VARCHAR,3439,1226,1226,588,638,2213,0,7432,205_canonical_consolidation.py; 265_canonical_finalization.py,213_data_dictionary.py; 228_registry_backfill.py; cpm_cols_pre.txt,PRESERVE_DIFFERENT_SEMANTIC,Only 48.0% agreement — pair likely measures different things despite naming.,INTEGER 1-5 vs VARCHAR TR1-TR5
tirads_best_score_v12,BIGINT,tirads_v2_worst_category,VARCHAR,3474,2819,2817,,,657,2,7395,221_tirads_v2_integration.py; 221b_suspicious_ln_reextraction.py; 265_canonical_finalization.py; 271_tirads_imaging_finalization.py,207_canonical_master_expansion.py; 209_nlp_entity_crossvalidation.py; 228_registry_backfill.py; 246_canonical_us_nodule_characteristics.py; 265_canonical_finalization.py; 273_registry_curation.py; 57_freeze_manuscript_cohort.py; 58_missingness_summary.py; 59_dataset_summary.py; 61_table1_preview.py; ajcc8_t_stage_view_migration_proposal.md; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_descriptive_full_cohort_v1; VIEW:manuscript_workspace.cohort_m011_tirads_fna_genetics_v1; VIEW:manuscript_workspace.cohort_m025_tirads_performance_v1; VIEW:manuscript_workspace.cohort_m045_multimodal_risk_v1; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1,PRESERVE_DIFFERENT_SEMANTIC,Pair has different semantics: v12.score = MIN tirads_acr_recalculated (category code 1-5); v2 has only worst_category not best — semantic mismatch. Recommend renaming pair to clarifying names.,SEMANTIC MISMATCH — equality not computed: v12.score = MIN tirads_acr_recalculated (category code 1-5); v2 has only worst_category not best — semantic mismatch
tirads_nodule_size_max_mm_v12,DOUBLE,tirads_v2_largest_nodule_cm,DOUBLE,3439,2440,2438,48,2390,1001,2,7430,(none),207_canonical_master_expansion.py; 273_registry_curation.py; ajcc8_t_stage_view_migration_proposal.md; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_descriptive_full_cohort_v1; VIEW:manuscript_workspace.cohort_m011_tirads_fna_genetics_v1; VIEW:manuscript_workspace.cohort_m050_tumor_size_volume_v1; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1,PRESERVE_DIFFERENT_SEMANTIC,Only 2.0% agreement — pair likely measures different things despite naming.,mm vs cm — divide by 10
tirads_source_v12,VARCHAR,tirads_source_system_v271,VARCHAR,3474,1326,1326,0,1326,2148,0,7397,(none),207_canonical_master_expansion.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md,PRESERVE_DIFFERENT_SEMANTIC,Only 0.0% agreement — pair likely measures different things despite naming.,VARCHAR vs VARCHAR — source system label
tirads_worst_category_v12,VARCHAR,imaging_tirads_worst_v2,VARCHAR,3474,1226,1226,279,947,2248,0,7397,221_tirads_v2_integration.py; 265_canonical_finalization.py,207_canonical_master_expansion.py; 209_nlp_entity_crossvalidation.py; 246_canonical_us_nodule_characteristics.py; 252_recompute_max_tirads.py; 273_registry_curation.py; ajcc8_t_stage_view_migration_proposal.md; cpm_cols_pre.txt; schema_inventory.md; PLAN.md; VIEW:manuscript_workspace.cohort_descriptive_full_cohort_v1; VIEW:manuscript_workspace.cohort_m011_tirads_fna_genetics_v1; VIEW:manuscript_workspace.cohort_m025_tirads_performance_v1; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1; VIEW:manuscript_workspace.cohort_m076_ln_surveillance_v1,PRESERVE_DIFFERENT_SEMANTIC,Only 22.8% agreement — pair likely measures different things despite naming.,"VARCHAR(TR1-TR5) — category vs category, label format may differ"
tirads_worst_combined,INTEGER,imaging_tirads_worst_v2,VARCHAR,3439,1226,1226,325,901,2213,0,7432,205_canonical_consolidation.py; 221_tirads_v2_integration.py; 265_canonical_finalization.py,213_data_dictionary.py; 228_registry_backfill.py; cpm_cols_pre.txt,PRESERVE_DIFFERENT_SEMANTIC,Only 26.5% agreement — pair likely measures different things despite naming.,INTEGER 1-5 vs VARCHAR TR1-TR5
tirads_worst_points_v271,DOUBLE,tirads_v2_max_points,DOUBLE,1326,1357,459,127,332,867,898,8647,271_tirads_imaging_finalization.py,(none),PRESERVE_DIFFERENT_SEMANTIC,Only 27.7% agreement — pair likely measures different things despite naming.,DOUBLE points (ACR 0-13+) — both MAX per RID
tirads_worst_score_v12,BIGINT,tirads_v2_worst_category,VARCHAR,3474,2819,2817,1276,1541,657,2,7395,271_tirads_imaging_finalization.py,207_canonical_master_expansion.py; 265_canonical_finalization.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_m025_tirads_performance_v1; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1,PRESERVE_DIFFERENT_SEMANTIC,Only 45.3% agreement — pair likely measures different things despite naming.,v12.worst_score = MAX category code 1-5 (BIGINT); tirads_v2_worst_category VARCHAR TR1-TR5 — extract rank
