column_name,cpm_dtype,canonical_table,canonical_column,canonical_dtype,coverage_status,notes
tirads_worst_category_v12,VARCHAR,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,VARCHAR labels collapse to TR rank
tirads_worst_combined,INTEGER,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Pre-v12 INTEGER worst-ever
tumor_pathology_laterality_v271b,VARCHAR,canonical_us_patient_master_v2,tumor_pathology_laterality_v2,VARCHAR,mapped_cupm_v2,Ported via backfill; rename-on-move
worst_tirads_category,VARCHAR,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Patient worst TR rank rollup
tirads_worst_points_v271,DOUBLE,canonical_us_patient_master_v2,max_tirads_points_ever,DOUBLE,mapped_points,DOUBLE points; cupm_v2 has max-only
imaging_tirads_source,VARCHAR,-,-,—,retired_redesign,Pipeline-source label — metadata-only
tirads_concordant_count_v12,BIGINT,-,-,—,retired_redesign,Q1 decision: redesign cohort_m025/m075
tirads_has_acr_recalc_v12,BOOLEAN,-,-,—,retired_redesign,Concept retired in v2 pipeline
tirads_mismatch_count_v12,BIGINT,-,-,—,retired_redesign,Q1 decision: redesign cohort_m025/m075
tirads_n_sources_v12,BIGINT,-,-,—,retired_redesign,Q1 decision: redesign cohort_m025
tirads_reliability_v12,DOUBLE,-,-,—,retired_redesign,Q1 decision: redesign cohort_m075
tirads_source_system_v271,VARCHAR,-,-,—,retired_redesign,Pipeline-source label — metadata-only
tirads_source_v12,VARCHAR,-,-,—,retired_redesign,Pipeline-source label — metadata-only
