column_name,data_type,is_nullable,ordinal_position,non_null_count,coverage_pct,inferred_source,description
bmi_source,VARCHAR,YES,49,2085,19.2,nsqip_data / op_sheet_data / clinical_notes_long,BMI from nsqip_data / op_sheet_data / clinical_notes_long
braf_detection_method,VARCHAR,YES,50,376,3.5,gold_master_patient_facts_v1,VARCHAR field
braf_detection_method_v11,VARCHAR,YES,51,376,3.5,gold_master_patient_facts_v1,VARCHAR field
braf_positive,BOOLEAN,YES,52,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
braf_positive_final,BOOLEAN,YES,53,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
braf_positive_v7,BOOLEAN,YES,54,10024,92.2,gold_master_patient_facts_v1,BOOLEAN field
braf_recovered_status_v11,VARCHAR,YES,55,376,3.5,gold_master_patient_facts_v1,VARCHAR field
braf_recovered_variant_v11,VARCHAR,YES,56,271,2.5,gold_master_patient_facts_v1,VARCHAR field
braf_source,VARCHAR,YES,57,10027,92.2,gold_master_patient_facts_v1,VARCHAR field
braf_status_v7,VARCHAR,YES,58,10024,92.2,gold_master_patient_facts_v1,VARCHAR field
braf_variant,VARCHAR,YES,59,173,1.6,gold_master_patient_facts_v1,VARCHAR field
calcium_nadir,DOUBLE,YES,60,0,0.0,gold_master_patient_facts_v1,DOUBLE field
calcium_nadir_30d,DOUBLE,YES,61,23,0.2,gold_master_patient_facts_v1,DOUBLE field
calcium_nadir_days_postop,INTEGER,YES,62,34,0.3,gold_master_patient_facts_v1,INTEGER field
calcium_supplement_required,BOOLEAN,YES,63,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
capsular_invasion_refined,VARCHAR,YES,64,1191,11.0,gold_master_patient_facts_v1,VARCHAR field
capsular_invasion_v6,VARCHAR,YES,65,1227,11.3,gold_master_patient_facts_v1,VARCHAR field
chyle_leak_status,VARCHAR,YES,66,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
closest_margin_mm,DOUBLE,YES,67,879,8.1,gold_master_patient_facts_v1,DOUBLE field
comp_chyle_leak_confirmed,BOOLEAN,YES,68,1588,14.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_chyle_leak_days_postop,BIGINT,YES,69,1548,14.2,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_chyle_leak_evidence_tier,INTEGER,YES,70,20,0.2,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_chyle_leak_permanent,BOOLEAN,YES,71,1588,14.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_chyle_leak_suspected,BOOLEAN,YES,72,1588,14.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_chyle_leak_timing_window,VARCHAR,YES,73,1588,14.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_chyle_leak_transient,BOOLEAN,YES,74,1588,14.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_chyle_leak_treatment_req,BOOLEAN,YES,75,1588,14.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_confirmed,BOOLEAN,YES,76,253,2.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_days_postop,BIGINT,YES,77,57,0.5,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_evidence_tier,INTEGER,YES,78,53,0.5,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_permanent,BOOLEAN,YES,79,253,2.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_suspected,BOOLEAN,YES,80,253,2.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_timing_window,VARCHAR,YES,81,253,2.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_transient,BOOLEAN,YES,82,253,2.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hematoma_treatment_req,BOOLEAN,YES,83,253,2.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_confirmed,BOOLEAN,YES,84,1877,17.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_days_postop,BIGINT,YES,85,677,6.2,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_evidence_tier,INTEGER,YES,86,82,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_permanent,BOOLEAN,YES,87,1877,17.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_suspected,BOOLEAN,YES,88,1877,17.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_timing_window,VARCHAR,YES,89,1877,17.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_transient,BOOLEAN,YES,90,1877,17.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypocalcemia_treatment_req,BOOLEAN,YES,91,1877,17.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_confirmed,BOOLEAN,YES,92,430,4.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_days_postop,BIGINT,YES,93,65,0.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_evidence_tier,INTEGER,YES,94,65,0.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_permanent,BOOLEAN,YES,95,430,4.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_suspected,BOOLEAN,YES,96,430,4.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_timing_window,VARCHAR,YES,97,430,4.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_transient,BOOLEAN,YES,98,430,4.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_hypoparathyroidism_treatment_req,BOOLEAN,YES,99,430,4.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_confirmed,BOOLEAN,YES,100,731,6.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_days_postop,BIGINT,YES,101,100,0.9,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_evidence_tier,INTEGER,YES,102,92,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_permanent,BOOLEAN,YES,103,731,6.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_suspected,BOOLEAN,YES,104,731,6.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_timing_window,VARCHAR,YES,105,731,6.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_transient,BOOLEAN,YES,106,731,6.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_rln_injury_treatment_req,BOOLEAN,YES,107,731,6.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_confirmed,BOOLEAN,YES,108,874,8.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_days_postop,BIGINT,YES,109,600,5.5,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_evidence_tier,INTEGER,YES,110,32,0.3,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_permanent,BOOLEAN,YES,111,874,8.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_suspected,BOOLEAN,YES,112,874,8.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_timing_window,VARCHAR,YES,113,874,8.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_transient,BOOLEAN,YES,114,874,8.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_seroma_treatment_req,BOOLEAN,YES,115,874,8.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_confirmed,BOOLEAN,YES,116,88,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_days_postop,BIGINT,YES,117,25,0.2,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_evidence_tier,INTEGER,YES,118,0,0.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_permanent,BOOLEAN,YES,119,88,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_suspected,BOOLEAN,YES,120,88,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_timing_window,VARCHAR,YES,121,88,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_transient,BOOLEAN,YES,122,88,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paralysis_treatment_req,BOOLEAN,YES,123,88,0.8,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_confirmed,BOOLEAN,YES,124,71,0.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_days_postop,BIGINT,YES,125,20,0.2,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_evidence_tier,INTEGER,YES,126,0,0.0,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_permanent,BOOLEAN,YES,127,71,0.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_suspected,BOOLEAN,YES,128,71,0.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_timing_window,VARCHAR,YES,129,71,0.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_transient,BOOLEAN,YES,130,71,0.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_vc_paresis_treatment_req,BOOLEAN,YES,131,71,0.7,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_voice_permanence_noted,BOOLEAN,YES,132,2892,26.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_voice_resolution_noted,BOOLEAN,YES,133,2892,26.6,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_confirmed,BOOLEAN,YES,134,16,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_days_postop,BIGINT,YES,135,9,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_evidence_tier,INTEGER,YES,136,14,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_permanent,BOOLEAN,YES,137,16,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_suspected,BOOLEAN,YES,138,16,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_timing_window,VARCHAR,YES,139,16,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_transient,BOOLEAN,YES,140,16,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
comp_wound_infection_treatment_req,BOOLEAN,YES,141,16,0.1,complication_phenotype_v1,Complication status from complication_phenotype_v1
completion_braf_positive,BOOLEAN,YES,142,604,5.6,gold_master_patient_facts_v1,BOOLEAN field
completion_histology_type,VARCHAR,YES,143,188,1.7,gold_master_patient_facts_v1,VARCHAR field
completion_prior_histology,VARCHAR,YES,144,385,3.5,gold_master_patient_facts_v1,VARCHAR field
completion_reason,VARCHAR,YES,145,685,6.3,gold_master_patient_facts_v1,VARCHAR field
completion_reason_confidence,DOUBLE,YES,146,685,6.3,gold_master_patient_facts_v1,DOUBLE field
completion_t_stage,VARCHAR,YES,147,110,1.0,gold_master_patient_facts_v1,VARCHAR field
completion_tert_positive,BOOLEAN,YES,148,604,5.6,gold_master_patient_facts_v1,BOOLEAN field
confirmed_rai_episodes,BIGINT,YES,149,862,7.9,gold_master_patient_facts_v1,BIGINT field
cross_fna_concordance,VARCHAR,YES,150,5249,48.3,gold_master_patient_facts_v1,VARCHAR field
ct_goiter_present_any,BOOLEAN,YES,151,2369,21.8,ct_imaging,CT imaging data
ct_largest_ln_short_axis_mm,DOUBLE,YES,152,928,8.5,ct_imaging,CT imaging data
ct_ln_enlarged_any,BOOLEAN,YES,153,3081,28.3,ct_imaging,CT imaging data
ct_ln_suspicious_any,BOOLEAN,YES,154,3080,28.3,ct_imaging,CT imaging data
ct_n_exams,BIGINT,YES,155,3086,28.4,ct_imaging,CT imaging data
ct_substernal_extension_any,BOOLEAN,YES,156,1804,16.6,ct_imaging,CT imaging data
ct_tracheal_deviation_any,BOOLEAN,YES,157,3086,28.4,ct_imaging,CT imaging data
ct_tracheal_narrowing_any,BOOLEAN,YES,158,3086,28.4,ct_imaging,CT imaging data
date_traceability_status,VARCHAR,YES,159,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
days_first_to_last_tg,BIGINT,YES,160,2523,23.2,gold_master_patient_facts_v1,BIGINT field
days_to_first_laryngoscopy,BIGINT,YES,161,24,0.2,gold_master_patient_facts_v1,BIGINT field
days_to_last_laryngoscopy,BIGINT,YES,162,24,0.2,gold_master_patient_facts_v1,BIGINT field
demo_confidence,INTEGER,YES,163,10871,100.0,gold_master_patient_facts_v1,INTEGER field
demo_source,VARCHAR,YES,164,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
diagnosis_confidence,VARCHAR,YES,165,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
diagnosis_full,VARCHAR,YES,166,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
diagnosis_primary,VARCHAR,YES,167,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
diagnosis_variant,VARCHAR,YES,168,1516,13.9,gold_master_patient_facts_v1,VARCHAR field
distant_mets_proxy,BOOLEAN,YES,169,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
dominant_nodule_size_cm,DOUBLE,YES,170,3439,31.6,gold_master_patient_facts_v1,DOUBLE field
earliest_complication_days,BIGINT,YES,171,66,0.6,gold_master_patient_facts_v1,BIGINT field
eif1ax_positive,BOOLEAN,YES,172,10024,92.2,gold_master_patient_facts_v1,BOOLEAN field
ene_ct,VARCHAR,YES,173,369,3.4,gold_master_patient_facts_v1,VARCHAR field
ene_deposit_cm,DOUBLE,YES,174,9,0.1,gold_master_patient_facts_v1,DOUBLE field
ene_grade_v9,VARCHAR,YES,175,1266,11.6,gold_master_patient_facts_v1,VARCHAR field
ene_levels_v9,VARCHAR,YES,176,44,0.4,gold_master_patient_facts_v1,VARCHAR field
ene_n_sources,BIGINT,YES,177,1596,14.7,gold_master_patient_facts_v1,BIGINT field
ene_op_intraop,VARCHAR,YES,178,12,0.1,gold_master_patient_facts_v1,VARCHAR field
ene_path_ct_concordance,VARCHAR,YES,179,1596,14.7,gold_master_patient_facts_v1,VARCHAR field
ene_path_levels,VARCHAR,YES,180,21,0.2,gold_master_patient_facts_v1,VARCHAR field
ene_path_nlp,VARCHAR,YES,181,21,0.2,gold_master_patient_facts_v1,VARCHAR field
ene_path_synoptic,VARCHAR,YES,182,1266,11.6,gold_master_patient_facts_v1,VARCHAR field
ene_pet,VARCHAR,YES,183,63,0.6,gold_master_patient_facts_v1,VARCHAR field
ene_positive,BOOLEAN,YES,184,1266,11.6,gold_master_patient_facts_v1,BOOLEAN field
ene_rai_scan,VARCHAR,YES,185,200,1.8,gold_master_patient_facts_v1,VARCHAR field
ene_record_count_v9,BIGINT,YES,186,1266,11.6,gold_master_patient_facts_v1,BIGINT field
ene_us,VARCHAR,YES,187,465,4.3,gold_master_patient_facts_v1,VARCHAR field
ete_grade,VARCHAR,YES,188,4075,37.5,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_grade_source,VARCHAR,YES,189,10871,100.0,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_op_note_confidence,VARCHAR,YES,190,183,1.7,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_op_note_grade,VARCHAR,YES,191,183,1.7,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_original_grade,VARCHAR,YES,192,3558,32.7,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_original_source,VARCHAR,YES,193,3558,32.7,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_refined_grade,VARCHAR,YES,194,3558,32.7,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_subgrade_method,VARCHAR,YES,195,3558,32.7,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
ete_subgrade_note,VARCHAR,YES,196,183,1.7,extracted_ete_subgraded_v1,From extracted_ete_subgraded_v1
first_recurrence_date,TIMESTAMP,YES,197,54,0.5,gold_master_patient_facts_v1,TIMESTAMP field
first_surgery_date,TIMESTAMP,YES,198,8731,80.3,gold_master_patient_facts_v1,TIMESTAMP field
first_tg_date,DATE,YES,199,2523,23.2,gold_master_patient_facts_v1,DATE field
fna_bethesda_confidence,DOUBLE,YES,200,5249,48.3,gold_master_patient_facts_v1,DOUBLE field
fna_bethesda_source,VARCHAR,YES,201,5249,48.3,gold_master_patient_facts_v1,VARCHAR field
fna_confidence,DOUBLE,YES,202,5249,48.3,gold_master_patient_facts_v1,DOUBLE field
fna_path_concordance_category,VARCHAR,YES,203,5249,48.3,gold_master_patient_facts_v1,VARCHAR field
fna_path_concordant,BOOLEAN,YES,204,5249,48.3,gold_master_patient_facts_v1,BOOLEAN field
fna_path_outcome,VARCHAR,YES,205,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
followup_category,VARCHAR,YES,206,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
followup_completeness_score,INTEGER,YES,207,10871,100.0,gold_master_patient_facts_v1,INTEGER field
followup_days,BIGINT,YES,208,10871,100.0,gold_master_patient_facts_v1,BIGINT field
followup_years,DOUBLE,YES,209,10871,100.0,gold_master_patient_facts_v1,DOUBLE field
gland_weight_combined_g,DOUBLE,YES,210,9092,83.6,thyroid_weight_data,From thyroid_weight_data
gland_weight_final_g,DOUBLE,YES,211,9130,84.0,thyroid_weight_data,From thyroid_weight_data
gland_weight_isthmus_g,DOUBLE,YES,212,97,0.9,thyroid_weight_data,From thyroid_weight_data
gland_weight_left_lobe_g,DOUBLE,YES,213,3429,31.5,thyroid_weight_data,From thyroid_weight_data
gland_weight_right_lobe_g,DOUBLE,YES,214,3375,31.0,thyroid_weight_data,From thyroid_weight_data
gland_weight_source,VARCHAR,YES,215,9413,86.6,thyroid_weight_data,From thyroid_weight_data
gland_weight_total_reported_g,DOUBLE,YES,216,5372,49.4,thyroid_weight_data,From thyroid_weight_data
gm_lab_completeness_score,INTEGER,YES,217,10871,100.0,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_macis_calculable_flag,BOOLEAN,YES,218,10871,100.0,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_path_ene_raw,VARCHAR,YES,219,1227,11.3,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_path_ete_raw,VARCHAR,YES,220,4075,37.5,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_path_lvi_raw,VARCHAR,YES,221,3366,31.0,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_path_m_stage_raw,VARCHAR,YES,222,4005,36.8,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_path_pni_raw,VARCHAR,YES,223,1438,13.2,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_path_stage_raw,VARCHAR,YES,224,0,0.0,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_path_vascular_inv_raw,VARCHAR,YES,225,3682,33.9,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_provenance_confidence,INTEGER,YES,226,10871,100.0,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_rai_date_confidence,VARCHAR,YES,227,581,5.3,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_rai_date_source,VARCHAR,YES,228,581,5.3,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_recurrence_date_source,VARCHAR,YES,229,182,1.7,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_recurrence_site_primary,VARCHAR,YES,230,0,0.0,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_recurrence_source,VARCHAR,YES,231,1946,17.9,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_recurrence_type_primary,VARCHAR,YES,232,1946,17.9,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gm_tg_below_threshold_ever,BOOLEAN,YES,233,2566,23.6,gold_master_patient_facts_v1,From gold_master_patient_facts_v1
gross_ete_flag,BOOLEAN,YES,234,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
has_low_calcium_flag,BOOLEAN,YES,235,2892,26.6,gold_master_patient_facts_v1,BOOLEAN field
has_low_pth_flag,BOOLEAN,YES,236,2892,26.6,gold_master_patient_facts_v1,BOOLEAN field
has_suspicious_candidate,BOOLEAN,YES,237,6126,56.4,gold_master_patient_facts_v1,BOOLEAN field
has_voice_data,BOOLEAN,YES,238,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
hematoma_status,VARCHAR,YES,239,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
high_risk_molecular_v7,BOOLEAN,YES,240,10024,92.2,gold_master_patient_facts_v1,BOOLEAN field
histology_final,VARCHAR,YES,241,4137,38.1,gold_master_patient_facts_v1,VARCHAR field
histology_source,VARCHAR,YES,242,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
hras_positive_v11,BOOLEAN,YES,243,348,3.2,gold_master_patient_facts_v1,BOOLEAN field
hypocalcemia_status,VARCHAR,YES,244,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
hypoparathyroidism_status,VARCHAR,YES,245,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
ihc_braf_confidence_v13,DOUBLE,YES,246,2,0.0,gold_master_patient_facts_v1,DOUBLE field
ihc_braf_note_type_v13,VARCHAR,YES,247,2,0.0,gold_master_patient_facts_v1,VARCHAR field
ihc_braf_result_v13,VARCHAR,YES,248,2,0.0,gold_master_patient_facts_v1,VARCHAR field
imaging_ln_abnormal,BOOLEAN,YES,249,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
imaging_n_nodule_records,BIGINT,YES,250,3474,32.0,gold_master_patient_facts_v1,BIGINT field
imaging_nodule_size_cm_v11,DOUBLE,YES,251,3050,28.1,gold_master_patient_facts_v1,DOUBLE field
imaging_suspicious_unconfirmed,BOOLEAN,YES,252,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
imaging_tirads_source,VARCHAR,YES,253,3474,32.0,gold_master_patient_facts_v1,VARCHAR field
is_malignant,BOOLEAN,YES,254,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
kras_positive_v11,BOOLEAN,YES,255,348,3.2,gold_master_patient_facts_v1,BOOLEAN field
