field_name,domain,status,rationale,primary_source_tables,expected_missingness_behavior,manuscript_allowed,notes
tirads_score,Imaging,SOURCE_LIMITED,Only 32.5% of cohort has TIRADS score; ACR systematic -1.0 mean mismatch vs radiologist-reported scores,"extracted_tirads_validated_v1, advanced_features_v5",3474/10871 patients (32.5%),conditional,"Report coverage fraction in Methods; note systematic ACR vs radiologist discordance."
imaging_nodule_size_cm,Imaging,DERIVED_APPROXIMATE,Size derived primarily from NLP (h_p + op_note text) and per-nodule structured Excel; not all nodule measurements are the index nodule,"extracted_nodule_sizes_v1, raw_us_tirads_excel_v1",3051 NLP + 3439 structured Excel (overlap); best coverage ~40%,conditional,"Prefer structured Excel source (tirads_reliability=validated); NLP sizes have ±0.5cm uncertainty."
vocal_cord_status_detailed,Complications,SOURCE_LIMITED,Only 8 patients have documented vocal_cord_status (paresis/paralysis) with laryngoscopy date in structured complications table,"complications, vw_confirmed_postop_rln_injury",6 laryngoscopy-confirmed; 19 chart-documented; 92 refined NLP,conditional,"Use refined RLN pipeline counts (extracted_rln_injury_refined_v2) for clinical reporting."
braf_positive_final,Molecular,CANONICAL,441 confirmed BRAF-positive patients; NGS (266) + NLP-confirmed (175); false-positive fix applied 2026-03-12; 55.1% of molecular-tested matches published surgical cohort enrichment,"extracted_braf_recovery_v1, molecular_test_episode_v2",441/10025 molecular-tested (4.4% of surgical cohort); NGS-only 266 for highest-specificity analysis,yes,"For highest-specificity analyses use NGS-only source filter (braf_detection_method = 'NGS')."
ras_positive_final,Molecular,CANONICAL,316 confirmed RAS-positive patients; NRAS/HRAS/KRAS breakdown available; NLP positivity gate applied,"extracted_ras_patient_summary_v1, molecular_test_episode_v2",316/10025 molecular-tested (3.2% of surgical cohort),yes,"Distinguish RAS_unspecified (31) from typed NRAS/HRAS/KRAS in subgroup analyses."
tert_positive_final,Molecular,CANONICAL,96 TERT-positive patients recovered (was 1 prior to Phase 5); sourced from molecular_test_episode_v2.tert_flag; C228T/C250T sub-typing available for 65%,"molecular_test_episode_v2, extracted_ete_ene_tert_refined_v1",96/10025 (0.96%),yes,
ete_grade_v9,Pathology,CANONICAL,ETE grading Phase 9: 3642 microscopic (resolved from x-placeholder) + 188 gross + 49 still-ungraded; AJCC8 compliant,"tumor_episode_master_v2, patient_refined_master_clinical_v9",49 (0.5%) still ungraded — acceptable residual,yes,"x-placeholder resolution rule: x → microscopic (AJCC8: does NOT upstage T1-T2)."
margin_r_classification,Pathology,CANONICAL,R0=12; R1=3896; R2=25; Rx=35; majority from path_synoptics 'x'=involved (R1),"extracted_margins_refined_v1, patient_refined_staging_flags_v3",4058/10871 classified (37.3%); 6813 benign/NA,yes,"R0 recovery required op-note NLP; low R0 count expected in malignant cohort with intent-to-cure surgery."
vascular_invasion_who_grade,Pathology,DERIVED_APPROXIMATE,87% of vascular invasion remains 'present_ungraded' (path_synoptics 'x' without vessel count); WHO 2022 focal/extensive grading available for only 819/3846 positive patients,"extracted_invasion_profile_v1, patient_refined_master_clinical_v12",819/3846 graded (21.3%); 3027 present_ungraded,conditional,"Report as present/absent for primary analysis; use WHO grade as exploratory subgroup with limitation note."
recurrence_flag_structured,Outcomes,CANONICAL,Source-linked structured boolean from recurrence_risk_features_mv; 1986/10871 (18.3%) flagged; multi-source linkage available,"recurrence_risk_features_mv, extracted_recurrence_refined_v1",18.3% overall; biochemical (168) and structural-confirmed (54) subtypes available,yes,
ajcc8_stage_group,Staging,CANONICAL,AJCC 8th Ed stage from thyroid_scoring_py_v1; age-dependent (DTC); 98.6% calculable among eligible,"thyroid_scoring_py_v1, patient_analysis_resolved_v1",98.6% calculable; 1.4% missing required inputs,yes,"Use thyroid_scoring_py_v1 as single source of truth for staging; do not use raw path_synoptics staging codes."
ata_risk_initial,Staging,CANONICAL,ATA 2015 initial risk stratification; 76.0% calculable among analysis-eligible cancer patients,"thyroid_scoring_py_v1",76% calculable; 24% missing ETE or LN inputs required for intermediate/high classification,yes,"Report calculability fraction in Methods; sensitivity analysis with complete cases vs imputed."
macis_score,Staging,CANONICAL,MACIS score from thyroid_scoring_py_v1; 37.5% calculable (requires exact tumor size + distant mets),thyroid_scoring_py_v1,37.5% calculable in cancer cohort; limited by 65-67% tumor_size missing,conditional,"Useful for specific publications focused on patient subsets with complete staging data."
specimen_weight_g,Pathology,SOURCE_LIMITED,Weight from path_synoptics.weight_total; 35% coverage overall; 34% in goiter cohort,"path_synoptics",Available 4072/11688; 65% missing — imputation required for goiter analyses,conditional,"MICE imputation provides coverage for statistical modeling; report source fraction."
bmi,Operative,SOURCE_LIMITED,operative_details.bmi has ~1.3% coverage (122/9368 rows),"operative_details",Essentially unusable as standalone variable,no,"Recommend external linkage if BMI is analytically required."
sex_harmonized,Demographics,CANONICAL,Sex from demographics_harmonized_v2; 93.2% coverage (10873/11673); cross-source harmonization applied,"demographics_harmonized_v2, path_synoptics",93.2% fill rate; 788 missing,yes,"Use LOWER(sex) or demographics_harmonized_v2.sex_final for case-insensitive matching."
race_harmonized,Demographics,CANONICAL,Race from demographics_harmonized_v2; 93.1% coverage; 25+ raw categories normalized to 7 analytic groups,"demographics_harmonized_v2",93.1% fill rate,yes,"Always use analytic race groups not raw values; see race normalization map."
age_at_surgery,Demographics,CANONICAL,Age calculated from DOB+surgery_date; 99.2% coverage after cross-file DOB recovery,"demographics_harmonized_v2, stg_dob_excel_recovery",88 truly missing (research_id > 9800 range; not in any raw Excel),yes,"88 missing patients are post-data-freeze additions; reportable as missing in denominator."
ene_grade,Pathology,SOURCE_LIMITED,ENE grade: 1250 present_ungraded + 7 indeterminate; path_synoptics uses 'x'/'present' without extent qualifiers,"extracted_ene_multisource_v1, patient_refined_master_clinical_v12",1267 patients with ENE; 98.6% have only synoptic 'x' marker without extent grading,conditional,"Report as present/absent; sub-grading requires deep free-text path report parsing beyond current scope."
operative_boolean_defaults,Operative,MANUAL_REVIEW_ONLY,"10 operative boolean fields (rln_monitoring, parathyroid_autograft, gross_ete, local_invasion, tracheal, esophageal, strap_muscle, reoperative, drain, parathyroid_resection) mean UNKNOWN/NOT_PARSED when FALSE — not confirmed-negative","operative_episode_detail_v2","FALSE = absence of NLP evidence; NOT confirmed-negative for all fields except central_neck_dissected and lateral_neck_dissected (those are structurally validated)",conditional,"Always interpret with UNKNOWN semantics for FALSE values. Never report operational absence as clinical absence without independent validation."
provenance_lab_dates,Labs,DERIVED_APPROXIMATE,6801 lab events lack a date despite non-NULL values — TSH/PTH/Ca/VitD NLP extractions have no specimen_collect_dt or nearby entity_date,"provenance_enriched_events_v1, val_provenance_traceability",6801 warnings in val_provenance_traceability; affect all non-Tg analytes,conditional,"Use lab_date_status to filter to events where date is trustworthy; classify untrustworthy dates as 'approximate-temporal' in Methods."
