port_order	feeder_object	bq_dataset_expected	legacy_ref_object	md_builder_script	assembly_consumers	columns_or_select_used_by_cpm_phase1	drift_class	pub_canonical_builder_bq_20260514	orphan_bq_builder	disposition_notes	non_clinical_metadata_only_drift
90	ct_imaging	pub_canonical	pub_legacy_source_20260416.same	201	201;207	date_of_exam	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
100	nuclear_med	pub_canonical	pub_legacy_source_20260416.same	201	201;207	scandate	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
110	fna_episode_master_v2	pub_canonical	pub_legacy_source_20260416.same	201;203;203b	201;203;203b	resolved_fna_date	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
120	molecular_testing	pub_canonical	pub_legacy_source_20260416.same	202	202	UNION_source_molecular_testing_block	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
130	molecular_variant_long	pub_canonical	pub_legacy_source_20260416.same	202;211	202;211	variant_long_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
140	extracted_braf_recovery_v1	pub_canonical	pub_legacy_source_20260416.same	llm_extraction	202	brca_recovery_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
150	extracted_ras_patient_summary_v1	pub_canonical	pub_legacy_source_20260416.same	llm_extraction	202	ras_summary_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
160	thyroseq_molecular_enrichment	pub_canonical	pub_legacy_source_20260416.same	41;113	202	thyroseq_enrichment_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
170	note_entities_genetics	pub_canonical	pub_legacy_source_20260416.same	LLM	202	genetics_entity_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
180	canonical_molecular_tested_v1	pub_canonical	pub_legacy_source_20260416.same	scripts/202_canonical_molecular_tested.py	204;205;ASM204	molecular_tested_confirmed;platform_canonical;test_count;has_thyroseq;has_afirma;braf_positive_canonical;ras_positive_canonical;tert_positive_canonical;molecular_risk_tier;first_test_date	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	True BQ-native rebuild optional per MotherDuck-independence goal.	FALSE
190	canonical_recurrence_v1	pub_canonical	pub_legacy_source_20260416.canonical_recurrence_v1	scripts/203_canonical_recurrence.py;203b; qc_framework_v1/migrations/332_recurrence_v1_histology_evidence_restore_20260514.sql (MD VIEW); bq_migrations/mig_098 (BQ TABLE backfill)	204;205;ASM204	r.* per recur CTE including recurrence_histology recurrence_evidence_source	REGRESSION_OR_REBUILD	ORPHAN_BUILDER	yes	CLOSEOUT 2026-05-14: MD mig_332 restores 2 cols on main.canonical_recurrence_v1 via pre-mig284 archive join; BQ mig_098 MERGE from legacy. Script 203 always emitted these columns; regression was mig_284 compat VIEW projection.	FALSE
200	thyroglobulin_lab_VIEW_v1	pub_canonical	pub_legacy if exists	MD VIEW	203	biochem_subset_from_VIEW	VIEW_PASSTHROUGH	VERIFY mig_086	no		FALSE
210	note_entities_llm_recurrence	pub_canonical	pub_legacy_source_20260416.same	LLM	203	recurrence_NLP_entities	VIEW_PASSTHROUGH	bq_migrations/mig_086 sweep	no		FALSE
220	recurrence_event_clean_v1	pub_canonical	pub_legacy_source_20260416.same	resolved layer	203;203b;211	recurrence_event_clean_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
225	manuscript_workspace.recurrence_path_proven_candidates_v1	MD_OR_WORKSPACE	n/a	203b	203b	path_proven_candidate_rids	MD_ONLY	n/a	yes	Port to pub_workspace QC or inline 203b logic; no PHI in BQ.	FALSE
230	canonical_fna_events_v1	pub_canonical	pub_legacy verify	203b	203b	fna_event_cols	UNKNOWN_VERIFY	ORPHAN_BUILDER	yes	Schema-check before BQ 203b.	FALSE
240	canonical_survival_followup_v1	pub_canonical	pub_legacy_source_20260416.canonical_survival_followup_v1	scripts/201_canonical_survival_followup.py	204;205;ASM204	MD201: last_lab_date last_tg_date last_contact_date followup_days followup_years followup_category; BQ/ASM204: last_known_alive_date last_followup_source days_from_first_surgery_to_last_contact	INTENTIONAL_RESTRUCTURE	ORPHAN_BUILDER	yes	Update survivor assembly + provenance map to SSOT schema per qc_framework_v1/migrations/244-style contracts; derive followup_category if still needed.	FALSE
250	imaging_nodule_master_v1	pub_canonical	pub_legacy_source_20260416.same	50_multinodule	205	tirads_acr_recalculated;exam_date	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
260	tirads_llm_extracted_v2	pub_canonical	pub_legacy_source_20260416.same	LLM	205	tirads_llm_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
270	fna_cytology	pub_canonical	pub_legacy_source_20260416.same	ingest	205	bethesda_*_num	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
280	patient_refined_master_clinical_v12	pub_canonical	VERIFY snapshot 20260514 absent	llm_extraction stack	205;207;214	fna_path_outcome;wide PRM blocks	MISSING_OR_FACADE	VERIFY	yes	Not in studies/bq_pub_object_list_snapshot_20260514.json — confirm live BQ; required for 205/207 parity.	FALSE
290	canonical_patient_master_v1	MD_STAGING_TABLE	pub_archive ladder	n/a not BQ feeder	207	reads old_canon staging wide	ASSEMBLY_INTERMEDIATE	n/a	n/a	Output of 204–217 before 223 promotion.	FALSE
300	thyroid_scoring_py_v1	pub_canonical	pub_legacy verify	51b	207	scoring.*	VIEW_PASSTHROUGH	qc_framework_v1/migrations/327_bulk_md_to_bq_missing_tables.py	no		FALSE
310	complication_patient_summary_v1	pub_canonical	pub_legacy verify	52;53	207	comp_wide_block	VIEW_PASSTHROUGH_OR_VERIFY	ORPHAN_BUILDER	yes	Align with script364 canonical_complications_patient_rollup_v1 policy.	FALSE
320	imaging_patient_summary_v1	pub_canonical	pub_legacy verify	imaging rollup	207	ips.*	VIEW_PASSTHROUGH_OR_VERIFY	ORPHAN_BUILDER	yes		FALSE
330	tg_timeline_patient_summary_v1	pub_canonical	pub_legacy verify	Tg scripts	207	tg_timeline_block	VIEW_PASSTHROUGH_OR_VERIFY	ORPHAN_BUILDER	yes		FALSE
340	ln_master_rollup_v1	NOT_IN_pub_canonical_snapshot	MD main / thyroid_research_ro_v2	208	208	ln_rollup_* on v1	MD_ONLY	VERIFY	yes	Materialize to pub_canonical or fold into PAR before BQ-native 208.	FALSE
350	complication_phenotype_v1	pub_canonical	pub_legacy_source_20260416.same	52;53	211	phenotype_long	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	legacy vs 364 rollup — track deprecation.	FALSE
360	extracted_rln_injury_refined_v2	pub_canonical	pub_legacy_source_20260416.same	llm_extraction	211	rln_injury_refined_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
370	extracted_ete_subgraded_v1	pub_canonical	pub_legacy_source_20260416.same	phase9	211	ete_subgraded_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
380	extracted_postop_labs_expanded_v1	pub_canonical	pub_legacy_source_20260416.same	phase9	211	postop_labs_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
390	rai_treatment_episode_v2	pub_canonical	pub_legacy_source_20260416.same	RAI pipeline	211	rai_episode_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
400	survival_cohort_enriched	pub_canonical	pub_legacy_source_20260416.same	38;26	211	survival_cohort_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
410	note_entities_llm_bundle_212	pub_canonical	multiple note_entities_llm_* + note_entities_*	scripts/212_nlp_entity_rollup.py	212	all 23 LLM + 7 base domains per script DOMAIN_MAP	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	See scripts/212_nlp_entity_rollup.py tier1 tables pathology tirads_granular cervical_ln tg_kinetics recurrence vascular_invasion + TIER3 list.	FALSE
420	note_entities_operative_detail	pub_canonical	pub_legacy_source_20260416.same	215	215	op_nlp_*	VIEW_PASSTHROUGH	bq_migrations mig_086 sweep	no		FALSE
430	note_entities_medications	pub_canonical	pub_legacy_source_20260416.same	215	215	medications_entities	VIEW_PASSTHROUGH	bq_migrations mig_086 sweep	no		FALSE
440	note_entities_problem_list	pub_canonical	pub_legacy_source_20260416.same	215	215	problem_list_entities	VIEW_PASSTHROUGH	bq_migrations mig_086 sweep	no		FALSE
450	note_entities_procedures	pub_canonical	pub_legacy_source_20260416.same	215	215	procedures_entities	VIEW_PASSTHROUGH	bq_migrations mig_086 sweep	no		FALSE
460	mri_imaging	pub_canonical	pub_legacy verify	216 parquet	216	mri_date_or_series	VIEW_PASSTHROUGH_OR_VERIFY	ORPHAN_BUILDER	yes		FALSE
470	thyroid_weights	pub_canonical	pub_legacy_source_20260416.thyroid_weights	216	216	thyroid_weight_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	BQ table thyroid_weights in snapshot.	FALSE
480	nsqip_enrichment	pub_canonical	pub_legacy verify	216 parquet nsqip	216	nsqip_* on CPM	VIEW_PASSTHROUGH_OR_VERIFY	ORPHAN_BUILDER	yes	Map script216 parquet to pub_canonical.nsqip_enrichment (or patient_summary).	FALSE
485	nsqip_patient_summary	pub_canonical	pub_legacy verify	216	216	nsqip_rollup_fields	VIEW_PASSTHROUGH_OR_VERIFY	ORPHAN_BUILDER	yes	Alternate NSQIP landing table per BQ snapshot.	FALSE
490	op_sheet_parquet	MD_INGEST	BQ_VERIFY	216	216	raw_operative_sheet	INGEST_GATED	VERIFY	yes	Define target BQ table for operative sheet before 216-equivalent.	FALSE
500	clinical_note_ln_extracted_v1	pub_canonical	pub_legacy verify	217	217	cnln rollup	VIEW_PASSTHROUGH_OR_VERIFY	ORPHAN_BUILDER	yes	Verify live BQ schema vs MD before 217 port.	FALSE
506	note_entities_llm_cervical_ln_detail	pub_canonical	pub_legacy_source_20260416.same	LLM	212;205	llm_entity_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	Independent BQ verification 2026-05-14: schema delta vs legacy is non-clinical LLM metadata only.	TRUE
507	note_entities_llm_pathology	pub_canonical	pub_legacy_source_20260416.same	LLM	212;205	llm_entity_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	Independent BQ verification 2026-05-14: schema delta vs legacy is non-clinical LLM metadata only.	TRUE
508	note_entities_llm_synoptic_pathology_enrichment	pub_canonical	pub_legacy_source_20260416.same	LLM	212;205	llm_entity_cols	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	Independent BQ verification 2026-05-14: schema delta vs legacy is non-clinical LLM metadata only.	TRUE
