catalog,schema,object_name,table_type,classification,row_count,patient_key,origin_key,time_key,linkage_key,build_release_key,overall_verdict,missing_fields,substitutes,gap_kind,remediation,sql_file
Thyroid 2026,main,clinical_notes_long,BASE TABLE,row_level_fact_event,11050,PASS: `research_id` non-null all rows,PASS: `source_workbook` non-null all rows,PASS: `ingested_at_utc` non-null all rows,PASS (exception: staging wide table): episode/specimen ids live on canonical/promoted tables; this legacy wide row is workbook-anchored,PASS: `ingest_script_version` non-null all rows,PASS,,,,"N/A — PHI-bearing wide extract in MotherDuck; publication claims must cite canonical fact / presentation views, not raw note bodies (contract §PHI).",object_level_sql/main__clinical_notes_long__count_nulls.sql
Thyroid 2026,main,complication_patient_summary_v1,BASE TABLE,aggregate_rollup,2892,N/A,N/A,N/A,N/A,N/A,N/A (not row-grain audit),,,,,
Thyroid 2026,main,complication_phenotype_v1,BASE TABLE,row_level_fact_event,5928,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__complication_phenotype_v1__count_nulls.sql
Thyroid 2026,main,ct_imaging,BASE TABLE,row_level_fact_event,7701,PASS: `research_id` non-null all rows,PASS: `source_workbook` non-null all rows,PASS: `ingested_at_utc` non-null all rows,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `ingest_script_version` non-null all rows,PARTIAL,linkage,,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__ct_imaging__count_nulls.sql
Thyroid 2026,main,episode_analysis_resolved_v1_dedup,BASE TABLE,row_level_fact_event,9368,PASS: `research_id` non-null all rows,FAIL: missing column(s),PARTIAL: `surgery_date` NULL rows=4/9368,PASS: `surgery_episode_id` non-null all rows,FAIL: missing column(s),FAIL,origin;time;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__episode_analysis_resolved_v1_dedup__count_nulls.sql
Thyroid 2026,main,episode_completeness_summary_v,VIEW,aggregate_rollup,4,N/A,N/A,N/A,N/A,N/A,N/A (not row-grain audit),,,,,
Thyroid 2026,main,event_date_audit_v2,BASE TABLE,row_level_fact_event,61055,PASS: `research_id` non-null all rows,PASS: `source_table` non-null all rows,FAIL: missing column(s),PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,FAIL: missing column(s),FAIL,time;linkage;build/release,,,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__event_date_audit_v2__count_nulls.sql
Thyroid 2026,main,extracted_braf_recovery_v1,BASE TABLE,row_level_fact_event,730,PASS: `research_id` non-null all rows,FAIL: missing column(s),PASS: `extracted_at` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__extracted_braf_recovery_v1__count_nulls.sql
Thyroid 2026,main,extracted_complications_refined_v5,BASE TABLE,row_level_fact_event,358,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__extracted_complications_refined_v5__count_nulls.sql
Thyroid 2026,main,extracted_ete_subgraded_v1,BASE TABLE,row_level_fact_event,3558,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__extracted_ete_subgraded_v1__count_nulls.sql
Thyroid 2026,main,extracted_postop_labs_expanded_v1,BASE TABLE,row_level_fact_event,1395,PASS: `research_id` non-null all rows,FAIL: missing column(s),PARTIAL: `lab_date` NULL rows=1187/1395,FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__extracted_postop_labs_expanded_v1__count_nulls.sql
Thyroid 2026,main,extracted_ras_patient_summary_v1,BASE TABLE,aggregate_rollup,321,N/A,N/A,N/A,N/A,N/A,N/A (not row-grain audit),,,,,
Thyroid 2026,main,extracted_rln_injury_refined_v2,BASE TABLE,row_level_fact_event,92,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__extracted_rln_injury_refined_v2__count_nulls.sql
Thyroid 2026,main,extracted_tirads_validated_v1,BASE TABLE,row_level_fact_event,3474,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__extracted_tirads_validated_v1__count_nulls.sql
Thyroid 2026,main,fhir_bundle_specimen_export_v1,BASE TABLE,row_level_lab_specimen_molecular,10139,FAIL: missing column(s),PASS (exception): specimen_id + resource_json prove FHIR resource identity,PASS: `built_at` present,PASS (exception): specimen_id joins to specimen_master_v1,PARTIAL (exception): built_at; release_tag only on release schema snapshot exports,FAIL,patient,,,N/A — analytic FHIR export rows; join patient_fhir_id to map; see docs/motherduck_database_contract_v1.md §Specimen identity + FHIR.,object_level_sql/main__fhir_bundle_specimen_export_v1__count_nulls.sql
Thyroid 2026,main,fhir_encounter_v1,BASE TABLE,row_level_lab_specimen_molecular,10139,PARTIAL (exception): patient via patient_fhir_id → fhir_patient_deid_map_v1 / specimen spine,PASS (exception): specimen_id + resource_json prove FHIR resource identity,PASS: `built_at` present,PASS (exception): specimen_id joins to specimen_master_v1,PARTIAL (exception): built_at; release_tag only on release schema snapshot exports,PARTIAL (exception: FHIR export row),,,,N/A — analytic FHIR export rows; join patient_fhir_id to map; see docs/motherduck_database_contract_v1.md §Specimen identity + FHIR.,object_level_sql/main__fhir_encounter_v1__count_nulls.sql
Thyroid 2026,main,fhir_episode_of_care_v1,BASE TABLE,row_level_lab_specimen_molecular,10139,PARTIAL (exception): patient via patient_fhir_id → fhir_patient_deid_map_v1 / specimen spine,PASS (exception): specimen_id + resource_json prove FHIR resource identity,PASS: `built_at` present,PASS (exception): specimen_id joins to specimen_master_v1,PARTIAL (exception): built_at; release_tag only on release schema snapshot exports,PARTIAL (exception: FHIR export row),,,,N/A — analytic FHIR export rows; join patient_fhir_id to map; see docs/motherduck_database_contract_v1.md §Specimen identity + FHIR.,object_level_sql/main__fhir_episode_of_care_v1__count_nulls.sql
Thyroid 2026,main,fhir_patient_deid_map_v1,BASE TABLE,row_level_lab_specimen_molecular,8422,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__fhir_patient_deid_map_v1__count_nulls.sql
Thyroid 2026,main,fhir_procedure_collection_v1,BASE TABLE,row_level_lab_specimen_molecular,10139,PARTIAL (exception): patient via patient_fhir_id → fhir_patient_deid_map_v1 / specimen spine,PASS (exception): specimen_id + resource_json prove FHIR resource identity,PASS: `built_at` present,PASS (exception): specimen_id joins to specimen_master_v1,PARTIAL (exception): built_at; release_tag only on release schema snapshot exports,PARTIAL (exception: FHIR export row),,,,N/A — analytic FHIR export rows; join patient_fhir_id to map; see docs/motherduck_database_contract_v1.md §Specimen identity + FHIR.,object_level_sql/main__fhir_procedure_collection_v1__count_nulls.sql
Thyroid 2026,main,fhir_specimen_v1,BASE TABLE,row_level_lab_specimen_molecular,10139,PARTIAL (exception): patient via patient_fhir_id → fhir_patient_deid_map_v1 / specimen spine,PASS (exception): specimen_id + resource_json prove FHIR resource identity,PASS: `built_at` present,PASS (exception): specimen_id joins to specimen_master_v1,PARTIAL (exception): built_at; release_tag only on release schema snapshot exports,PARTIAL (exception: FHIR export row),,,,N/A — analytic FHIR export rows; join patient_fhir_id to map; see docs/motherduck_database_contract_v1.md §Specimen identity + FHIR.,object_level_sql/main__fhir_specimen_v1__count_nulls.sql
Thyroid 2026,main,fna_cytology,BASE TABLE,row_level_fact_event,8063,PASS: `research_id` non-null all rows,PASS: `source_workbook` non-null all rows,PASS: `ingested_at_utc` non-null all rows,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `ingest_script_version` non-null all rows,PARTIAL,linkage,,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__fna_cytology__count_nulls.sql
Thyroid 2026,main,fna_episode_master_v2,BASE TABLE,row_level_fact_event,8119,PASS: `research_id` non-null all rows,PASS: `source_table` non-null all rows,FAIL: missing column(s),PASS: `fna_episode_id` non-null all rows,FAIL: missing column(s),FAIL,time;build/release,,,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__fna_episode_master_v2__count_nulls.sql
Thyroid 2026,main,fna_history,BASE TABLE,row_level_fact_event,8119,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__fna_history__count_nulls.sql
Thyroid 2026,main,fna_molecular_linkage_v3,BASE TABLE,row_level_fact_event,838,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),PASS: `fna_episode_id` non-null all rows,FAIL: missing column(s),FAIL,origin;time;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__fna_molecular_linkage_v3__count_nulls.sql
Thyroid 2026,main,gold_llm_verified_facts,BASE TABLE,row_level_fact_event,178,PASS: `research_id` non-null all rows,PASS: `note_row_id` non-null all rows,PARTIAL: `entity_date` NULL rows=32/178,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PARTIAL: `extraction_run_id` NULL rows=178/178,PARTIAL,time;linkage;build/release,note_row_id,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__gold_llm_verified_facts__count_nulls.sql
Thyroid 2026,main,gold_master_episode_events_v1,VIEW,row_level_fact_event,9368,PASS: `research_id` non-null all rows,FAIL: missing column(s),PARTIAL: `surgery_date` NULL rows=4/9368,PASS: `surgery_episode_id` non-null all rows,FAIL: missing column(s),FAIL,origin;time;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__gold_master_episode_events_v1__count_nulls.sql
Thyroid 2026,main,gold_master_patient_facts_v1,VIEW,row_level_fact_event,10871,PASS: `research_id` non-null all rows,PASS: `source_table` non-null all rows,FAIL: missing column(s),PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,FAIL: missing column(s),FAIL,time;linkage;build/release,,,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__gold_master_patient_facts_v1__count_nulls.sql
Thyroid 2026,main,imaging_fna_linkage_mm_v1,BASE TABLE,row_level_fact_event,2804,PASS: `research_id` non-null all rows,FAIL: missing column(s),PASS: `built_at` non-null all rows,PASS: `fna_episode_id` non-null all rows,FAIL: missing column(s),FAIL,origin;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__imaging_fna_linkage_mm_v1__count_nulls.sql
Thyroid 2026,main,imaging_fna_linkage_v3,BASE TABLE,row_level_fact_event,9911,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),PASS: `fna_episode_id` non-null all rows,FAIL: missing column(s),FAIL,origin;time;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__imaging_fna_linkage_v3__count_nulls.sql
Thyroid 2026,main,imaging_nodule_long_v2,BASE TABLE,row_level_fact_event,19891,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__imaging_nodule_long_v2__count_nulls.sql
Thyroid 2026,main,imaging_nodule_master_v1,BASE TABLE,row_level_fact_event,19891,PASS: `research_id` non-null all rows,PASS: `source_table` non-null all rows,FAIL: missing column(s),PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,FAIL: missing column(s),FAIL,time;linkage;build/release,,,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__imaging_nodule_master_v1__count_nulls.sql
Thyroid 2026,main,lab_cross_wave_dedup_map_v1,BASE TABLE,row_level_fact_event,21761,PASS: `research_id` non-null all rows,FAIL: missing column(s),PASS: `lab_date` non-null all rows,FAIL: missing column(s),PASS: `ingestion_wave` non-null all rows,FAIL,origin;linkage,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__lab_cross_wave_dedup_map_v1__count_nulls.sql
Thyroid 2026,main,lab_cross_wave_review_v1,BASE TABLE,row_level_fact_event,0,PASS: empty object,FAIL: missing column(s),PASS: empty object,FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__lab_cross_wave_review_v1__count_nulls.sql
Thyroid 2026,main,lab_same_day_value_review_v1,BASE TABLE,row_level_fact_event,288,PASS: `research_id` non-null all rows,FAIL: missing column(s),PASS: `lab_date` non-null all rows,FAIL: missing column(s),PASS: `ingestion_wave` non-null all rows,FAIL,origin;linkage,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__lab_same_day_value_review_v1__count_nulls.sql
Thyroid 2026,main,lesion_analysis_resolved_v1,BASE TABLE,row_level_fact_event,11851,PASS: `research_id` non-null all rows,PASS: `source_table` non-null all rows,PARTIAL: `surgery_date` NULL rows=3/11851,PASS: `surgery_episode_id` non-null all rows,FAIL: missing column(s),FAIL,time;build/release,,,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__lesion_analysis_resolved_v1__count_nulls.sql
Thyroid 2026,main,linkage_ambiguity_review_v1,BASE TABLE,row_level_fact_event,5547,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__linkage_ambiguity_review_v1__count_nulls.sql
Thyroid 2026,main,linkage_master_v1,BASE TABLE,row_level_fact_event,11506,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__linkage_master_v1__count_nulls.sql
Thyroid 2026,main,linkage_summary_v,VIEW,aggregate_rollup,10871,N/A,N/A,N/A,N/A,N/A,N/A (not row-grain audit),,,,,
Thyroid 2026,main,linkage_summary_v3,BASE TABLE,aggregate_rollup,5,N/A,N/A,N/A,N/A,N/A,N/A (not row-grain audit),,,,,
Thyroid 2026,main,longitudinal_lab_canonical_v1,BASE TABLE,row_level_lab_specimen_molecular,76971,PASS: `research_id` non-null all rows,PASS: `source_table` non-null all rows,PASS: `lab_date` non-null all rows,PASS (exception: lab grain): research_id + surg_date/lab_date + ingestion_wave; no surgery_episode_id on row,PASS: `ingestion_wave` non-null all rows,PASS,,,,"N/A — institution lab / Tg canonical long format per 113; linkage is temporal + patient, not episode-id denormalized.",object_level_sql/main__longitudinal_lab_canonical_v1__count_nulls.sql
Thyroid 2026,main,longitudinal_lab_deduped_v,VIEW,aggregate_rollup,55210,N/A,N/A,N/A,N/A,N/A,N/A (not row-grain audit),,,,,
Thyroid 2026,main,manuscript_cohort_v1,BASE TABLE,row_level_fact_event,10871,PASS: `research_id` non-null all rows,FAIL: missing column(s),PARTIAL: `surgery_date` NULL rows=2140/10871,FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__manuscript_cohort_v1__count_nulls.sql
Thyroid 2026,main,master_fact_long_verified_v1,VIEW,row_level_fact_event,123577,PASS: `research_id` non-null all rows,PASS: `source_domain` non-null all rows,PARTIAL: `entity_date` NULL rows=74682/123577,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `extraction_run_id` non-null all rows,PARTIAL,time;linkage,,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__master_fact_long_verified_v1__count_nulls.sql
Thyroid 2026,main,master_patient_rollup_verified_v1,VIEW,aggregate_rollup,5574,N/A,N/A,N/A,N/A,N/A,N/A (not row-grain audit),,,,,
Thyroid 2026,main,master_source_lineage_v1,VIEW,row_level_fact_event,123577,PASS: `research_id` non-null all rows,PASS: `source_domain` non-null all rows,PARTIAL: `entity_date` NULL rows=74682/123577,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `extraction_run_id` non-null all rows,PARTIAL,time;linkage,,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__master_source_lineage_v1__count_nulls.sql
Thyroid 2026,main,md_path_synoptics_encounter_qc_v1,BASE TABLE,row_level_fact_event,11688,PASS: `research_id` non-null all rows,PASS: `source_workbook` non-null all rows,PARTIAL: `surg_date` NULL rows=2/11688,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `ingest_script_version` non-null all rows,PARTIAL,time;linkage,,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__md_path_synoptics_encounter_qc_v1__count_nulls.sql
Thyroid 2026,main,md_synoptic_tumor_long_v1,BASE TABLE,row_level_fact_event,11103,PASS: `research_id` non-null all rows,PASS: `source_table` non-null all rows,PARTIAL: `surg_date` NULL rows=1/11103,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,FAIL: missing column(s),FAIL,time;linkage;build/release,,,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__md_synoptic_tumor_long_v1__count_nulls.sql
Thyroid 2026,main,md_val_path_synoptic_encounter_isolation_v1,BASE TABLE,row_level_fact_event,3,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__md_val_path_synoptic_encounter_isolation_v1__count_nulls.sql
Thyroid 2026,main,molecular_assay_dictionary,BASE TABLE,row_level_fact_event,0,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,patient;origin;time;linkage;build/release,,"schema,schema",Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__molecular_assay_dictionary__count_nulls.sql
Thyroid 2026,main,molecular_code_crosswalk,BASE TABLE,row_level_fact_event,17,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,patient;origin;time;linkage;build/release,,"schema,schema",Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__molecular_code_crosswalk__count_nulls.sql
